Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,1.00,500,134,306.40,484,0,0.00,0,2.64,4.50,8.95,0.00
1.00,2.00,0.80,0.60,500,46,235.40,406,0,0.00,0,2.59,4.88,10.83,0.00
1.00,2.00,0.80,0.80,500,236,364.70,498,0,0.00,0,2.38,4.94,7.99,0.00
1.00,2.00,0.80,0.90,500,84,327.80,472,0,0.00,0,3.30,5.01,9.01,0.00
1.00,2.00,0.80,0.20,500,154,312.20,476,0,0.00,0,2.09,5.17,8.72,0.00
1.00,2.00,0.80,0.00,500,48,309.70,466,0,0.00,0,2.68,5.49,8.54,0.00
1.00,2.00,0.80,0.40,500,79,299.60,471,0,0.00,0,1.13,5.71,12.22,0.00
1.00,2.00,0.80,0.30,500,92,291.60,497,0,0.00,0,2.23,5.72,9.83,0.00
1.00,2.00,0.80,0.70,500,61,297.70,486,0,0.00,0,3.20,5.86,8.83,0.00
1.00,2.00,0.80,0.10,500,130,350.70,488,0,0.00,0,2.49,6.98,13.47,0.00
1.00,2.00,0.80,0.50,500,47,207.00,463,0,0.00,0,3.11,7.22,9.88,0.00
