Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.10,500,111,279.60,496,0,0.00,0,2.72,5.30,9.43,0.00
1.00,2.00,0.80,0.70,500,103,295.10,462,0,0.00,0,3.32,5.30,10.34,0.00
1.00,2.00,0.80,0.20,500,78,310.60,486,0,0.00,0,2.72,5.33,13.02,0.00
1.00,2.00,0.80,0.00,500,48,309.70,466,0,0.00,0,2.68,5.49,8.54,0.00
1.00,2.00,0.80,0.60,500,66,282.30,496,0,0.00,0,2.61,5.63,9.36,0.00
1.00,2.00,0.80,0.80,500,114,289.00,484,0,0.00,0,2.45,5.90,9.44,0.00
1.00,2.00,0.80,0.90,500,98,326.90,498,0,0.00,0,4.29,6.04,10.18,0.00
1.00,2.00,0.80,0.40,500,48,314.80,494,0,0.00,0,4.48,6.06,9.98,0.00
1.00,2.00,0.80,1.00,500,103,304.40,490,0,0.00,0,2.94,6.11,10.69,0.00
1.00,2.00,0.80,0.30,500,76,273.40,459,0,0.00,0,3.78,6.14,8.30,0.00
1.00,2.00,0.80,0.50,500,161,385.70,480,0,0.00,0,3.20,6.77,10.64,0.00
