Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.70,500,56,184.20,412,0,0.00,0,2.04,2.63,3.91,0.00
1.00,2.00,0.80,0.90,500,41,208.70,453,0,0.00,0,2.04,3.14,4.10,0.00
1.00,2.00,0.80,0.80,500,31,161.70,315,0,0.00,0,1.12,3.49,8.50,0.00
1.00,2.00,0.80,0.50,500,48,296.50,440,0,0.00,0,2.23,3.56,6.05,0.00
1.00,2.00,0.80,1.00,500,112,263.50,496,0,0.00,0,2.01,3.70,5.26,0.00
1.00,2.00,0.80,0.30,500,138,331.40,486,0,0.00,0,2.75,3.86,6.62,0.00
1.00,2.00,0.80,0.60,500,27,255.30,423,0,0.00,0,1.30,4.02,6.81,0.00
1.00,2.00,0.80,0.20,500,31,203.80,491,0,0.00,0,1.55,4.70,9.41,0.00
1.00,2.00,0.80,0.10,500,184,362.60,494,0,0.00,0,2.84,5.09,8.70,0.00
1.00,2.00,0.80,0.40,500,41,256.90,490,0,0.00,0,1.52,5.38,11.69,0.00
1.00,2.00,0.80,0.00,500,48,309.70,466,0,0.00,0,2.68,5.49,8.54,0.00
