Alpha,Beta,Rho,Heuristic weight,MSA patch bias,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.80,0.50,500,37,203.77,493,0,0.00,0,1.12,2.00,4.56,0.00
1.00,2.00,0.80,0.70,0.50,500,34,225.83,467,0,0.00,0,1.03,2.13,6.10,0.00
1.00,2.00,0.80,0.90,0.50,500,24,179.63,421,0,0.00,0,1.12,2.26,6.99,0.00
1.00,2.00,0.80,0.80,0.75,500,40,241.67,491,0,0.00,0,0.09,2.32,7.49,0.00
1.00,2.00,0.80,0.80,1.00,500,40,241.67,491,0,0.00,0,0.09,2.32,7.49,0.00
1.00,2.00,0.80,0.90,0.75,500,27,218.87,497,0,0.00,0,0.09,2.37,7.28,0.00
1.00,2.00,0.80,0.90,1.00,500,27,218.87,497,0,0.00,0,0.09,2.37,7.28,0.00
1.00,2.00,0.80,0.70,0.75,500,25,196.87,477,0,0.00,0,0.09,2.52,7.23,0.00
1.00,2.00,0.80,0.70,1.00,500,25,196.87,477,0,0.00,0,0.09,2.52,7.23,0.00
1.00,2.00,0.80,1.00,0.00,500,23,226.77,480,0,0.00,0,0.70,3.07,5.39,0.00
1.00,2.00,0.80,0.60,0.75,500,22,164.90,466,0,0.00,0,0.14,3.09,9.82,0.00
1.00,2.00,0.80,0.60,1.00,500,22,164.90,466,0,0.00,0,0.14,3.09,9.82,0.00
1.00,2.00,0.80,0.60,0.50,500,48,218.07,473,0,0.00,0,0.98,3.09,9.37,0.00
1.00,2.00,0.80,0.50,0.50,500,40,283.87,497,0,0.00,0,1.12,3.11,8.05,0.00
1.00,2.00,0.80,0.90,0.00,500,41,226.17,468,0,0.00,0,0.09,3.14,6.27,0.00
1.00,2.00,0.80,0.50,0.75,500,44,217.60,429,0,0.00,0,0.14,3.14,8.81,0.00
1.00,2.00,0.80,0.50,1.00,500,44,217.60,429,0,0.00,0,0.14,3.14,8.81,0.00
1.00,2.00,0.80,1.00,0.75,500,24,177.23,481,0,0.00,0,0.09,3.20,7.68,0.00
1.00,2.00,0.80,1.00,1.00,500,24,177.23,481,0,0.00,0,0.09,3.20,7.68,0.00
1.00,2.00,0.80,1.00,0.50,500,26,167.00,420,0,0.00,0,1.12,3.29,6.04,0.00
1.00,2.00,0.80,0.90,0.25,500,53,236.70,483,0,0.00,0,0.70,3.29,6.17,0.00
1.00,2.00,0.80,0.70,0.25,500,27,223.60,480,0,0.00,0,1.12,3.35,6.62,0.00
1.00,2.00,0.80,0.50,0.25,500,85,315.03,499,0,0.00,0,0.06,3.50,8.86,0.00
1.00,2.00,0.80,1.00,0.25,500,21,241.67,475,0,0.00,0,0.09,3.54,6.04,0.00
1.00,2.00,0.80,0.80,0.25,500,26,221.33,485,0,0.00,0,0.94,3.58,9.98,0.00
1.00,2.00,0.80,0.40,0.75,500,56,230.73,457,0,0.00,0,0.09,3.63,10.07,0.00
1.00,2.00,0.80,0.40,1.00,500,56,230.73,457,0,0.00,0,0.09,3.63,10.07,0.00
1.00,2.00,0.80,0.40,0.50,500,38,217.57,483,0,0.00,0,0.94,3.81,8.08,0.00
1.00,2.00,0.80,0.70,0.00,500,39,252.47,480,0,0.00,0,1.03,3.85,7.44,0.00
1.00,2.00,0.80,0.60,0.25,500,34,272.57,490,0,0.00,0,0.14,3.86,10.69,0.00
1.00,2.00,0.80,0.30,0.50,500,41,279.47,490,0,0.00,0,1.07,3.86,9.28,0.00
1.00,2.00,0.80,0.60,0.00,500,37,243.17,483,0,0.00,0,1.12,4.05,9.89,0.00
1.00,2.00,0.80,0.30,0.25,500,73,249.50,486,0,0.00,0,0.09,4.13,7.72,0.00
1.00,2.00,0.80,0.40,0.00,500,56,281.37,495,0,0.00,0,1.09,4.13,8.27,0.00
1.00,2.00,0.80,0.80,0.00,500,47,281.63,497,0,0.00,0,1.03,4.14,8.69,0.00
1.00,2.00,0.80,0.10,0.50,500,93,280.63,492,0,0.00,0,0.09,4.22,8.73,0.00
1.00,2.00,0.80,0.50,0.00,500,26,230.23,490,0,0.00,0,1.12,4.28,8.52,0.00
1.00,2.00,0.80,0.20,0.25,500,65,263.40,497,0,0.00,0,1.45,4.39,8.44,0.00
1.00,2.00,0.80,0.40,0.25,500,53,240.30,494,0,0.00,0,2.40,4.41,8.21,0.00
1.00,2.00,0.80,0.20,0.50,500,55,296.60,447,0,0.00,0,1.12,4.59,7.72,0.00
1.00,2.00,0.80,0.30,0.75,500,31,226.60,484,0,0.00,0,1.58,4.68,10.02,0.00
1.00,2.00,0.80,0.30,1.00,500,31,226.60,484,0,0.00,0,1.58,4.68,10.02,0.00
1.00,2.00,0.80,0.20,0.00,500,77,276.03,467,0,0.00,0,1.01,4.73,8.24,0.00
1.00,2.00,0.80,0.30,0.00,500,58,227.53,455,0,0.00,0,1.12,4.82,9.17,0.00
1.00,2.00,0.80,0.10,0.75,500,39,280.33,469,0,0.00,0,0.09,5.23,11.37,0.00
1.00,2.00,0.80,0.10,1.00,500,39,280.33,469,0,0.00,0,0.09,5.23,11.37,0.00
1.00,2.00,0.80,0.20,0.75,500,68,278.23,491,0,0.00,0,1.12,5.34,9.08,0.00
1.00,2.00,0.80,0.20,1.00,500,68,278.23,491,0,0.00,0,1.12,5.34,9.08,0.00
1.00,2.00,0.80,0.10,0.25,500,60,253.47,481,0,0.00,0,0.29,5.54,11.43,0.00
1.00,2.00,0.80,0.00,0.00,500,48,297.10,495,0,0.00,0,2.48,5.85,10.22,0.00
1.00,2.00,0.80,0.10,0.00,500,27,316.00,484,0,0.00,0,2.48,5.99,9.46,0.00
