Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.90,500,32,247.00,484,0,0.00,0,1.58,3.20,4.59,0.00
1.00,2.00,0.80,0.60,500,55,201.40,483,0,0.00,0,2.04,3.44,7.34,0.00
1.00,2.00,0.80,0.40,500,46,235.30,359,0,0.00,0,2.10,3.86,6.66,0.00
1.00,2.00,0.80,0.20,500,52,193.40,341,0,0.00,0,1.55,4.04,7.28,0.00
1.00,2.00,0.80,1.00,500,36,164.90,331,0,0.00,0,2.66,4.42,7.34,0.00
1.00,2.00,0.80,0.70,500,35,208.70,424,0,0.00,0,2.46,4.60,8.78,0.00
1.00,2.00,0.80,0.10,500,113,295.30,494,0,0.00,0,1.14,4.65,8.69,0.00
1.00,2.00,0.80,0.50,500,152,267.20,403,0,0.00,0,1.61,4.84,8.69,0.00
1.00,2.00,0.80,0.80,500,58,287.10,475,0,0.00,0,2.55,4.91,7.39,0.00
1.00,2.00,0.80,0.30,500,76,240.20,466,0,0.00,0,1.48,5.14,8.30,0.00
1.00,2.00,0.80,0.00,500,48,309.70,466,0,0.00,0,2.68,5.49,8.54,0.00
