Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.90,500,68,313.17,482,0,0.00,0,1.12,4.50,9.01,0.00
1.00,2.00,0.80,0.80,500,62,321.53,498,0,0.00,0,1.42,4.64,9.85,0.00
1.00,2.00,0.80,1.00,500,88,279.40,495,0,0.00,0,2.43,5.00,11.40,0.00
1.00,2.00,0.80,0.70,500,61,310.27,498,0,0.00,0,1.35,5.07,9.46,0.00
1.00,2.00,0.80,0.60,500,46,282.13,470,0,0.00,0,1.30,5.16,11.01,0.00
1.00,2.00,0.80,0.40,500,79,303.27,498,0,0.00,0,1.13,5.53,12.22,0.00
1.00,2.00,0.80,0.20,500,65,282.60,476,0,0.00,0,2.09,5.53,10.54,0.00
1.00,2.00,0.80,0.30,500,82,283.30,497,0,0.00,0,2.04,5.72,10.35,0.00
1.00,2.00,0.80,0.00,500,48,297.10,495,0,0.00,0,2.48,5.85,10.22,0.00
1.00,2.00,0.80,0.50,500,47,234.57,481,0,0.00,0,1.14,6.13,9.88,0.00
1.00,2.00,0.80,0.10,500,80,311.57,491,0,0.00,0,2.49,6.25,13.47,0.00
