Alpha,Beta,Rho,pBest,CMSA impact on initial pheromones,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
1.00,5.00,0.80,0.05,0.00,0.00,65,38673,0.04,60.00,65.22,768
1.00,5.00,0.80,0.05,0.00,0.25,308,38673,0.04,50.00,65.22,1156
1.00,5.00,0.80,0.05,0.00,0.50,327,38673,0.05,52.00,66.67,1335
1.00,5.00,0.80,0.05,0.00,0.75,487,38673,0.03,56.00,66.67,1443
1.00,5.00,0.80,0.05,0.00,1.00,470,38673,0.07,38.00,66.67,1508
1.00,5.00,0.80,0.05,0.25,0.00,34,38673,0.05,58.00,66.67,766
1.00,5.00,0.80,0.05,0.25,0.25,115,38673,0.06,38.00,65.22,1139
1.00,5.00,0.80,0.05,0.25,0.50,457,38673,0.05,54.00,66.67,1333
1.00,5.00,0.80,0.05,0.25,0.75,469,38673,0.04,54.00,65.22,1439
1.00,5.00,0.80,0.05,0.25,1.00,311,38673,0.05,34.00,65.22,1512
1.00,5.00,0.80,0.05,0.50,0.00,299,38673,0.04,52.00,65.22,762
1.00,5.00,0.80,0.05,0.50,0.25,295,38673,0.03,70.00,66.67,1151
1.00,5.00,0.80,0.05,0.50,0.50,305,38673,0.04,50.00,66.67,1334
1.00,5.00,0.80,0.05,0.50,0.75,495,38673,0.04,60.00,66.67,1442
1.00,5.00,0.80,0.05,0.50,1.00,439,38673,0.08,34.00,66.67,1508
1.00,5.00,0.80,0.05,0.75,0.00,56,38673,0.07,42.00,65.22,761
1.00,5.00,0.80,0.05,0.75,0.25,321,38673,0.03,70.00,66.67,1151
1.00,5.00,0.80,0.05,0.75,0.50,332,38673,0.03,62.00,65.22,1348
1.00,5.00,0.80,0.05,0.75,0.75,369,38673,0.05,52.00,65.22,1460
1.00,5.00,0.80,0.05,0.75,1.00,496,38673,0.07,38.00,66.67,1514
1.00,5.00,0.80,0.05,1.00,0.00,16,38673,0.03,70.00,65.22,771
1.00,5.00,0.80,0.05,1.00,0.25,103,38673,0.04,60.00,65.22,1148
1.00,5.00,0.80,0.05,1.00,0.50,324,38673,0.03,62.00,65.22,1342
1.00,5.00,0.80,0.05,1.00,0.75,365,38673,0.05,46.00,65.22,1461
1.00,5.00,0.80,0.05,1.00,1.00,464,38673,0.05,44.00,66.67,1514
