From,To,Distance,CMSA,Normalized CMSA,High CMSA,Found-optimal edge
0,1,375.000000,0.000000,0.000000,false,true
1,0,609.000000,0.000000,0.000000,false,false
2,23,600.000000,0.000000,0.000000,false,true
3,60,430.000000,68.000000,0.985507,false,false
4,2,506.000000,69.000000,1.000000,true,true
5,4,416.000000,69.000000,1.000000,true,true
6,28,522.000000,0.000000,0.000000,false,false
7,3,535.000000,9.000000,0.130435,false,true
8,7,491.000000,2.000000,0.028986,false,true
9,11,555.000000,0.000000,0.000000,false,true
10,9,472.000000,69.000000,1.000000,true,true
11,8,381.000000,68.000000,0.985507,false,true
12,10,402.000000,67.000000,0.971014,false,false
13,14,703.000000,0.000000,0.000000,false,false
14,5,684.000000,0.000000,0.000000,false,false
15,27,563.000000,0.000000,0.000000,false,false
16,15,375.000000,69.000000,1.000000,true,true
17,16,555.000000,69.000000,1.000000,true,true
18,19,551.000000,69.000000,1.000000,true,true
19,55,483.000000,0.000000,0.000000,false,false
20,17,398.000000,69.000000,1.000000,true,true
21,24,545.000000,1.000000,0.014493,false,true
22,25,395.000000,67.000000,0.971014,false,true
23,26,483.000000,69.000000,1.000000,true,true
24,56,456.000000,67.000000,0.971014,false,true
25,13,438.000000,69.000000,1.000000,true,true
26,6,570.000000,0.000000,0.000000,false,true
27,22,331.000000,69.000000,1.000000,true,true
28,54,463.000000,0.000000,0.000000,false,true
29,12,577.000000,0.000000,0.000000,false,false
30,46,547.000000,0.000000,0.000000,false,true
31,30,370.000000,69.000000,1.000000,true,true
32,29,437.000000,69.000000,1.000000,true,true
33,31,423.000000,69.000000,1.000000,true,true
34,32,458.000000,69.000000,1.000000,true,true
35,38,1130.000000,0.000000,0.000000,false,false
36,42,451.000000,0.000000,0.000000,false,true
37,39,711.000000,0.000000,0.000000,false,false
38,35,530.000000,0.000000,0.000000,false,false
39,37,332.000000,69.000000,1.000000,true,true
40,36,548.000000,0.000000,0.000000,false,false
41,40,673.000000,69.000000,1.000000,true,true
42,41,349.000000,69.000000,1.000000,true,true
43,49,762.000000,68.000000,0.985507,false,false
44,48,770.000000,58.000000,0.840580,false,false
45,62,1045.000000,0.000000,0.000000,false,true
46,45,639.000000,0.000000,0.000000,false,true
47,33,978.000000,0.000000,0.000000,false,true
48,43,398.000000,69.000000,1.000000,true,true
49,47,765.000000,0.000000,0.000000,false,false
50,18,491.000000,0.000000,0.000000,false,true
51,50,455.000000,0.000000,0.000000,false,true
52,21,587.000000,0.000000,0.000000,false,false
53,20,636.000000,0.000000,0.000000,false,true
54,52,381.000000,69.000000,1.000000,true,true
55,51,390.000000,69.000000,1.000000,true,true
56,53,408.000000,69.000000,1.000000,true,true
57,44,476.000000,69.000000,1.000000,true,true
58,57,676.000000,0.000000,0.000000,false,false
59,58,584.000000,0.000000,0.000000,false,false
60,34,706.000000,2.000000,0.028986,false,false
61,59,521.000000,0.000000,0.000000,false,false
62,61,498.000000,69.000000,1.000000,true,true
63,66,415.000000,67.000000,0.971014,false,true
64,69,963.000000,0.000000,0.000000,false,false
65,68,552.000000,69.000000,1.000000,true,true
66,64,443.000000,69.000000,1.000000,true,true
67,63,386.000000,69.000000,1.000000,true,true
68,65,641.000000,0.000000,0.000000,false,false
69,67,589.000000,69.000000,1.000000,true,false
