Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.00,0.60,42,833,57,190.50,394,0.00,0.00,0.00,100.00,175
1.00,5.00,0.80,0.05,0.50,0.30,22,1590,694,1081.80,1434,0.00,0.01,0.09,90.00,1045
1.00,5.00,0.80,0.05,0.75,0.10,7,5000,3088,4016.60,4695,0.00,0.02,0.09,80.00,1424
1.00,5.00,0.80,0.05,0.50,0.60,42,833,289,522.50,713,0.00,0.02,0.09,70.00,1058
1.00,5.00,0.80,0.05,0.75,0.20,14,2500,1685,2155.20,2497,0.00,0.02,0.09,60.00,1425
1.00,5.00,0.80,0.05,0.75,0.70,49,714,453,572.30,706,0.00,0.02,0.09,60.00,1351
1.00,5.00,0.80,0.05,1.00,0.70,49,714,478,637.90,711,0.00,0.02,0.09,50.00,1451
1.00,5.00,0.80,0.05,0.50,1.00,70,500,149,326.30,492,0.00,0.03,0.09,70.00,1136
1.00,5.00,0.80,0.05,0.25,0.50,35,1000,136,360.00,482,0.00,0.03,0.09,70.00,666
1.00,5.00,0.80,0.05,0.75,0.90,63,555,383,471.90,541,0.00,0.03,0.09,70.00,1340
1.00,5.00,0.80,0.05,0.25,0.40,28,1250,131,495.70,1181,0.00,0.03,0.09,70.00,753
1.00,5.00,0.80,0.05,0.75,0.60,42,833,552,703.00,815,0.00,0.03,0.09,70.00,1386
1.00,5.00,0.80,0.05,0.25,0.20,14,2500,290,738.40,1570,0.00,0.03,0.09,70.00,631
1.00,5.00,0.80,0.05,0.00,0.10,7,5000,115,1410.80,4114,0.00,0.03,0.09,70.00,443
1.00,5.00,0.80,0.05,0.50,0.20,14,2500,824,1472.50,2142,0.00,0.03,0.09,70.00,1100
1.00,5.00,0.80,0.05,0.50,0.80,56,625,351,415.40,537,0.00,0.03,0.09,60.00,1078
1.00,5.00,0.80,0.05,1.00,1.00,70,500,388,437.40,481,0.00,0.03,0.09,60.00,1425
1.00,5.00,0.80,0.05,1.00,0.50,35,1000,766,891.70,990,0.00,0.03,0.09,60.00,1494
1.00,5.00,0.80,0.05,0.75,0.30,22,1590,1188,1347.40,1569,0.00,0.03,0.11,70.00,1349
1.00,5.00,0.80,0.05,1.00,0.60,42,833,615,730.20,815,0.00,0.03,0.24,80.00,1414
1.00,5.00,0.80,0.05,0.50,0.70,49,714,312,420.30,556,0.00,0.03,0.15,70.00,1011
1.00,5.00,0.80,0.05,0.00,0.70,49,714,67,160.50,335,0.00,0.04,0.09,60.00,352
1.00,5.00,0.80,0.05,0.25,1.00,70,500,112,183.10,382,0.00,0.04,0.09,60.00,776
1.00,5.00,0.80,0.05,0.25,0.80,56,625,133,208.90,319,0.00,0.04,0.09,60.00,730
1.00,5.00,0.80,0.05,0.00,0.40,28,1250,15,221.80,752,0.00,0.04,0.09,60.00,379
