Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.50,500,178,372.20,492,0,0.00,0,0.91,1.67,2.44,0.00
1.00,2.00,0.80,0.80,500,197,345.50,499,0,0.00,0,1.20,1.98,2.74,0.00
1.00,2.00,0.80,0.30,500,168,376.20,480,0,0.00,0,1.32,2.12,2.75,0.00
1.00,2.00,0.80,0.60,500,69,298.30,460,0,0.00,0,1.45,2.21,3.21,0.00
1.00,2.00,0.80,0.70,500,77,325.70,496,0,0.00,0,1.72,2.22,3.03,0.00
1.00,2.00,0.80,0.20,500,158,399.20,492,0,0.00,0,1.27,2.28,3.72,0.00
1.00,2.00,0.80,0.90,500,88,278.70,427,0,0.00,0,1.55,2.28,3.01,0.00
1.00,2.00,0.80,0.40,500,157,350.40,484,0,0.00,0,1.10,2.29,3.18,0.00
1.00,2.00,0.80,1.00,500,69,325.00,466,0,0.00,0,1.41,2.36,2.89,0.00
1.00,2.00,0.80,0.00,500,266,430.30,492,0,0.00,0,1.20,2.49,3.70,0.00
1.00,2.00,0.80,0.10,500,104,362.70,484,0,0.00,0,1.50,2.60,3.97,0.00
