Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.70,500,100,288.70,407,0,0.00,0,0.41,1.07,2.41,0.00
1.00,2.00,0.80,0.60,500,74,245.00,392,0,0.00,0,0.34,1.28,2.28,0.00
1.00,2.00,0.80,0.90,500,68,301.30,493,0,0.00,0,0.41,1.53,2.43,0.00
1.00,2.00,0.80,0.80,500,53,253.80,477,0,0.00,0,0.41,1.56,2.51,0.00
1.00,2.00,0.80,1.00,500,162,261.20,387,0,0.00,0,0.69,1.58,3.05,0.00
1.00,2.00,0.80,0.30,500,71,320.70,471,0,0.00,0,0.78,1.86,2.93,0.00
1.00,2.00,0.80,0.10,500,86,361.30,471,0,0.00,0,1.32,2.06,3.48,0.00
1.00,2.00,0.80,0.50,500,42,255.60,490,0,0.00,0,1.53,2.17,3.06,0.00
1.00,2.00,0.80,0.20,500,85,271.90,430,0,0.00,0,1.60,2.24,3.11,0.00
1.00,2.00,0.80,0.40,500,93,239.90,484,0,0.00,0,0.87,2.25,3.22,0.00
1.00,2.00,0.80,0.00,500,266,430.30,492,0,0.00,0,1.20,2.49,3.70,0.00
