Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.20,500,102,360.90,491,0,0.00,0,1.07,2.07,3.74,0.00
1.00,2.00,0.80,0.10,500,161,360.40,498,0,0.00,0,1.60,2.27,3.31,0.00
1.00,2.00,0.80,0.60,500,230,353.80,472,0,0.00,0,1.75,2.42,4.52,0.00
1.00,2.00,0.80,0.40,500,81,331.80,485,0,0.00,0,1.13,2.47,4.11,0.00
1.00,2.00,0.80,0.30,500,74,369.20,489,0,0.00,0,1.60,2.48,3.60,0.00
1.00,2.00,0.80,0.00,500,266,430.30,492,0,0.00,0,1.20,2.49,3.70,0.00
1.00,2.00,0.80,1.00,500,133,393.90,478,0,0.00,0,1.27,2.54,3.68,0.00
1.00,2.00,0.80,0.90,500,96,354.70,483,0,0.00,0,1.41,2.73,3.88,0.00
1.00,2.00,0.80,0.50,500,243,365.20,490,0,0.00,0,1.94,2.80,3.62,0.00
1.00,2.00,0.80,0.80,500,139,320.00,484,0,0.00,0,2.00,2.83,3.97,0.00
1.00,2.00,0.80,0.70,500,118,347.90,460,0,0.00,0,2.55,3.58,4.99,0.00
