Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.70,500,46,294.63,496,0,0.00,0,0.34,1.22,2.39,0.00
1.00,2.00,0.80,0.80,500,32,237.77,481,0,0.00,0,0.34,1.28,2.84,0.00
1.00,2.00,0.80,0.90,500,47,269.43,491,0,0.00,0,0.34,1.29,2.88,0.00
1.00,2.00,0.80,0.60,500,29,281.13,485,0,0.00,0,0.34,1.34,2.78,0.00
1.00,2.00,0.80,0.50,500,48,245.00,476,0,0.00,0,0.43,1.44,2.84,0.00
1.00,2.00,0.80,1.00,500,54,258.90,484,0,0.00,0,0.34,1.45,3.15,0.00
1.00,2.00,0.80,0.40,500,67,281.07,485,0,0.00,0,0.41,1.72,3.05,0.00
1.00,2.00,0.80,0.30,500,74,308.97,488,0,0.00,0,0.87,1.92,3.36,0.00
1.00,2.00,0.80,0.20,500,61,332.03,499,0,0.00,0,0.78,2.01,3.15,0.00
1.00,2.00,0.80,0.10,500,81,303.57,481,0,0.00,0,1.34,2.48,4.15,0.00
1.00,2.00,0.80,0.00,500,152,379.30,492,0,0.00,0,1.20,2.78,4.55,0.00
