Threshold,High CMSA edges,High CMSA density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-CMSA edges not seen in found-optimal tours
0.100000,124,1.02,60.48,52.82,52.007610,49
0.200000,116,0.95,61.21,50.00,52.629310,45
0.300000,116,0.95,61.21,50.00,52.629310,45
0.400000,113,0.93,61.95,49.30,53.265611,43
0.500000,111,0.91,61.26,47.89,52.676056,43
0.600000,109,0.89,62.39,47.89,53.642589,41
0.700000,106,0.87,61.32,45.77,52.727212,41
0.800000,105,0.86,61.90,45.77,53.229376,40
0.900000,100,0.82,63.00,44.37,54.171127,37
1.000000,64,0.52,68.75,30.99,59.115317,20
