Metric,Value
Instance,ftv110
Dimension,111
Unique found-optimal tours,63
Unique found-optimal edges,142
Found-optimal edge density [%],1.16
Cycle cover cost,1843.000000
Cycle cover gap to known optimum [%],5.87
Cycle cover cycles,13
Cycle cover min cycle length,2
Cycle cover avg cycle length,8.538462
Cycle cover max cycle length,49
Cycle cover edges,111
Cycle cover edge density [%],0.91
Cycle cover found-optimal edges,88
Cycle cover edges not seen in found-optimal tours,23
Cycle cover precision vs found-optimal edges [%],79.28
Cycle cover recall vs found-optimal edges [%],61.97
Cycle cover lift vs found-optimal edge density,68.169014
High MSA support threshold,1.000000
High MSA support edges,64
High MSA support edge density [%],0.52
High MSA support found-optimal edges,44
High MSA support edges not seen in found-optimal tours,20
High MSA support precision vs found-optimal edges [%],68.75
High MSA support recall vs found-optimal edges [%],30.99
High MSA support lift vs found-optimal edge density,59.115317
Cycle cover positive-MSA support edges,87
Cycle cover positive-MSA support edge density [%],0.71
Cycle cover positive-MSA support found-optimal edges,72
Cycle cover positive-MSA support edges not seen in found-optimal tours,15
Cycle cover positive-MSA support precision vs found-optimal edges [%],82.76
Cycle cover positive-MSA support recall vs found-optimal edges [%],50.70
Cycle cover positive-MSA support lift vs found-optimal edge density,71.160758
Cycle cover high-MSA support edges,45
Cycle cover high-MSA support edge density [%],0.37
Cycle cover high-MSA support found-optimal edges,38
Cycle cover high-MSA support edges not seen in found-optimal tours,7
Cycle cover high-MSA support precision vs found-optimal edges [%],84.44
Cycle cover high-MSA support recall vs found-optimal edges [%],26.76
Cycle cover high-MSA support lift vs found-optimal edge density,72.610329
Cycle cover edges with positive MSA support,87
Cycle cover positive-MSA support share [%],78.38
Cycle cover edges with high MSA support,45
Cycle cover high-MSA support share [%],40.54
High-MSA support edges removed by cycle-cover gate,19
High-MSA support found-optimal edges removed by cycle-cover gate,6
High-MSA support precision gain from cycle-cover gate,0.156944
High-MSA support recall loss from cycle-cover gate,0.042254
Found-optimal edges in both cycle cover and high MSA support,38
Found-optimal edges in cycle cover but not high MSA support,50
Found-optimal edges in high MSA support but not cycle cover,6
Found-optimal edges in neither cycle cover nor high MSA support,48
