Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.50,5000,139,2394.20,4175,0,0.00,0,2.30,5.53,8.63,0.00
1.00,2.00,0.80,0.10,5000,67,1539.10,4625,0,0.00,0,1.38,5.56,8.84,0.00
1.00,2.00,0.80,0.40,5000,226,2200.50,4975,0,0.00,0,3.27,5.59,9.70,0.00
1.00,2.00,0.80,0.20,5000,521,2628.60,4364,0,0.00,0,3.06,5.97,9.30,0.00
1.00,2.00,0.80,0.30,5000,83,2361.20,4730,0,0.00,0,3.58,6.28,8.94,0.00
1.00,2.00,0.80,0.60,5000,126,1534.50,2918,0,0.00,0,4.75,6.46,8.43,0.00
1.00,2.00,0.80,0.90,5000,130,1993.50,4904,0,0.00,0,2.30,6.49,8.43,0.00
1.00,2.00,0.80,0.70,5000,112,2039.60,4710,0,0.00,0,4.70,6.50,9.14,0.00
1.00,2.00,0.80,1.00,5000,121,1267.80,4534,0,0.00,0,4.75,6.74,10.01,0.00
1.00,2.00,0.80,0.80,5000,377,2602.10,4902,0,0.00,0,3.06,6.87,10.21,0.00
1.00,2.00,0.80,0.00,5000,327,1895.30,4490,0,0.00,0,5.21,7.76,11.54,0.00
