Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.90,5000,76,1961.33,4749,0,0.00,0,1.12,5.15,7.15,0.00
1.00,2.00,0.80,0.40,5000,104,1641.13,4700,0,0.00,0,1.48,5.58,9.14,0.00
1.00,2.00,0.80,0.80,5000,145,1919.97,4465,0,0.00,0,3.12,5.62,8.73,0.00
1.00,2.00,0.80,0.60,5000,94,1972.63,4751,0,0.00,0,3.63,5.63,9.96,0.00
1.00,2.00,0.80,0.20,5000,110,1850.90,4981,0,0.00,0,1.53,5.86,10.52,0.00
1.00,2.00,0.80,1.00,5000,76,2172.43,4849,0,0.00,0,1.53,5.94,10.67,0.00
1.00,2.00,0.80,0.10,5000,136,2171.27,4964,0,0.00,0,2.40,6.01,10.93,0.00
1.00,2.00,0.80,0.30,5000,76,1547.23,4878,0,0.00,0,2.25,6.23,11.44,0.00
1.00,2.00,0.80,0.50,5000,68,1549.33,4307,0,0.00,0,1.74,6.27,12.97,0.00
1.00,2.00,0.80,0.70,5000,148,1429.37,4525,0,0.00,0,3.58,6.68,9.86,0.00
1.00,2.00,0.80,0.00,5000,139,2133.83,4901,0,0.00,0,1.12,6.71,11.54,0.00
