Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.70,5000,132,1472.80,2657,0,0.00,0,2.30,4.51,6.64,0.00
1.00,2.00,0.80,0.50,5000,412,2490.80,4524,0,0.00,0,3.01,4.94,6.54,0.00
1.00,2.00,0.80,0.80,5000,174,1685.70,3864,0,0.00,0,3.78,5.17,6.69,0.00
1.00,2.00,0.80,1.00,5000,63,1495.80,4818,0,0.00,0,3.01,5.35,6.44,0.00
1.00,2.00,0.80,0.10,5000,501,1931.60,3738,0,0.00,0,2.30,5.49,11.08,0.00
1.00,2.00,0.80,0.20,5000,73,1893.60,4106,0,0.00,0,3.01,5.62,7.71,0.00
1.00,2.00,0.80,0.60,5000,418,1918.50,4603,0,0.00,0,3.78,5.69,6.49,0.00
1.00,2.00,0.80,0.90,5000,78,690.80,1621,0,0.00,0,3.78,5.72,7.81,0.00
1.00,2.00,0.80,0.40,5000,105,1833.10,4106,0,0.00,0,3.12,5.89,10.42,0.00
1.00,2.00,0.80,0.30,5000,205,1349.20,4649,0,0.00,0,3.01,7.15,13.59,0.00
1.00,2.00,0.80,0.00,5000,327,1895.30,4490,0,0.00,0,5.21,7.76,11.54,0.00
