Threshold,High CMSA edges,High CMSA density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-CMSA edges not seen in found-optimal tours
0.100000,132,0.91,61.36,51.27,56.392405,51
0.200000,126,0.87,61.11,48.73,56.160338,49
0.300000,126,0.87,61.11,48.73,56.160338,49
0.400000,124,0.85,62.10,48.73,57.066149,47
0.500000,121,0.83,61.16,46.84,56.202532,47
0.600000,118,0.81,61.86,46.20,56.852607,45
0.700000,115,0.79,61.74,44.94,56.737479,44
0.800000,115,0.79,61.74,44.94,56.737479,44
0.900000,110,0.76,62.73,43.67,57.645570,41
1.000000,73,0.50,68.49,31.65,62.944338,23
