Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.80,5000,130,2766.80,4924,0,0.00,0,1.85,3.55,6.88,0.00
1.00,2.00,0.80,1.00,5000,860,2567.30,4470,0,0.00,0,2.08,4.11,5.72,0.00
1.00,2.00,0.80,0.40,5000,189,1986.00,4850,0,0.00,0,1.25,4.76,7.57,0.00
1.00,2.00,0.80,0.00,5000,1315,2675.80,4972,0,0.00,0,2.40,4.80,8.54,0.00
1.00,2.00,0.80,0.90,5000,1754,2768.10,3760,0,0.00,0,1.71,4.99,10.34,0.00
1.00,2.00,0.80,0.70,5000,614,2366.30,4460,0,0.00,0,2.59,5.10,9.70,0.00
1.00,2.00,0.80,0.10,5000,352,2809.70,4503,0,0.00,0,2.22,5.17,7.85,0.00
1.00,2.00,0.80,0.50,5000,279,3116.50,4966,0,0.00,0,1.71,5.18,9.70,0.00
1.00,2.00,0.80,0.60,5000,178,2274.60,4603,0,0.00,0,1.89,5.35,9.74,0.00
1.00,2.00,0.80,0.20,5000,310,2017.20,4352,0,0.00,0,0.42,5.50,12.42,0.00
1.00,2.00,0.80,0.30,5000,89,2178.60,4292,0,0.00,0,1.85,5.59,10.71,0.00
