Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.80,5000,709,2984.87,4833,0,0.00,0,0.82,4.34,8.24,0.00
1.00,2.00,0.80,1.00,5000,138,2581.73,4990,0,0.00,0,0.61,4.62,10.23,0.00
1.00,2.00,0.80,0.50,5000,219,3014.23,4763,0,0.00,0,0.43,4.70,8.71,0.00
1.00,2.00,0.80,0.00,5000,274,2890.23,4864,0,0.00,0,1.39,4.85,9.97,0.00
1.00,2.00,0.80,0.90,5000,45,2733.80,4973,0,0.00,0,0.13,5.12,9.88,0.00
1.00,2.00,0.80,0.30,5000,141,2110.07,4725,0,0.00,0,1.17,5.16,9.80,0.00
1.00,2.00,0.80,0.20,5000,307,2219.60,4874,0,0.00,0,1.30,5.23,9.58,0.00
1.00,2.00,0.80,0.40,5000,88,2205.40,4902,0,0.00,0,2.34,5.35,8.45,0.00
1.00,2.00,0.80,0.60,5000,208,2207.23,4969,0,0.00,0,0.74,5.56,11.36,0.00
1.00,2.00,0.80,0.70,5000,266,2518.93,4885,0,0.00,0,1.13,5.79,10.01,0.00
1.00,2.00,0.80,0.10,5000,110,2714.23,4935,0,0.00,0,1.73,5.79,12.48,0.00
