Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.80,5000,159,2251.80,4995,0,0.00,0,1.08,4.05,7.15,0.00
1.00,2.00,0.80,0.20,5000,104,1999.80,4884,0,0.00,0,3.03,4.31,6.20,0.00
1.00,2.00,0.80,0.30,5000,124,1805.50,3863,0,0.00,0,2.12,4.79,7.28,0.00
1.00,2.00,0.80,0.60,5000,231,2308.90,4959,0,0.00,0,2.73,4.87,8.54,0.00
1.00,2.00,0.80,1.00,5000,136,1716.60,3687,0,0.00,0,2.69,4.94,7.59,0.00
1.00,2.00,0.80,0.90,5000,785,2157.60,4794,0,0.00,0,2.69,5.08,7.67,0.00
1.00,2.00,0.80,0.10,5000,722,2673.20,4789,0,0.00,0,3.29,5.14,8.63,0.00
1.00,2.00,0.80,0.00,5000,811,2922.30,4272,0,0.00,0,1.65,5.15,7.72,0.00
1.00,2.00,0.80,0.50,5000,1132,3070.10,4919,0,0.00,0,1.99,5.24,9.28,0.00
1.00,2.00,0.80,0.70,5000,590,2422.90,4994,0,0.00,0,2.90,5.31,7.46,0.00
1.00,2.00,0.80,0.40,5000,276,2228.40,4480,0,0.00,0,3.08,5.50,8.97,0.00
