Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.10,5000,77,2068.87,4978,0,0.00,0,0.79,5.63,9.96,0.00
1.00,2.00,0.80,0.40,5000,209,2095.20,4411,0,0.00,0,1.86,5.66,10.95,0.00
1.00,2.00,0.80,0.50,5000,718,2704.73,4991,0,0.00,0,0.79,5.79,12.36,0.00
1.00,2.00,0.80,0.00,5000,109,2701.83,4728,0,0.00,0,3.10,6.17,11.32,0.00
1.00,2.00,0.80,0.30,5000,204,2146.47,4993,0,0.00,0,1.98,6.19,10.58,0.00
1.00,2.00,0.80,0.70,5000,353,2829.77,4765,0,0.00,0,2.15,6.20,9.79,0.00
1.00,2.00,0.80,0.80,5000,215,2500.50,4943,0,0.00,0,2.52,6.32,10.87,0.00
1.00,2.00,0.80,0.60,5000,248,2961.83,4972,0,0.00,0,2.02,6.36,10.87,0.00
1.00,2.00,0.80,0.20,5000,151,2222.73,4999,0,0.00,0,0.79,6.52,9.83,0.00
1.00,2.00,0.80,1.00,5000,154,2765.23,4902,0,0.00,0,1.24,7.06,11.24,0.00
1.00,2.00,0.80,0.90,5000,160,2606.87,4767,0,0.00,0,3.64,7.46,15.54,0.00
