Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.80,5000,177,1790.50,3347,0,0.00,0,1.00,2.95,6.55,0.00
1.00,2.00,0.80,1.00,5000,296,1723.30,4674,0,0.00,0,2.11,3.33,5.13,0.00
1.00,2.00,0.80,0.40,5000,275,1924.00,3183,0,0.00,0,1.95,3.40,4.90,0.00
1.00,2.00,0.80,0.90,5000,101,2226.40,4341,0,0.00,0,1.95,3.49,5.94,0.00
1.00,2.00,0.80,0.70,5000,275,1959.70,4939,0,0.00,0,2.60,3.50,4.98,0.00
1.00,2.00,0.80,0.60,5000,282,2627.00,4956,0,0.00,0,1.91,3.67,6.13,0.00
1.00,2.00,0.80,0.10,5000,158,1802.20,3737,0,0.00,0,1.42,3.71,7.51,0.00
1.00,2.00,0.80,0.00,5000,848,2570.20,4721,0,0.00,0,1.00,3.85,6.86,0.00
1.00,2.00,0.80,0.30,5000,300,2282.90,4838,0,0.00,0,2.68,3.86,5.17,0.00
1.00,2.00,0.80,0.20,5000,146,2092.30,3690,0,0.00,0,2.49,4.20,5.82,0.00
1.00,2.00,0.80,0.50,5000,144,2517.10,4932,0,0.00,0,2.72,4.25,6.78,0.00
