Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.90,5000,234,2717.00,4539,0,0.00,0,2.07,3.73,6.05,0.00
1.00,2.00,0.80,0.00,5000,848,2570.20,4721,0,0.00,0,1.00,3.85,6.86,0.00
1.00,2.00,0.80,0.80,5000,330,2958.70,4690,0,0.00,0,1.42,3.88,7.70,0.00
1.00,2.00,0.80,0.40,5000,315,2267.70,3755,0,0.00,0,3.18,4.12,5.40,0.00
1.00,2.00,0.80,0.30,5000,200,1900.00,4620,0,0.00,0,2.14,4.20,6.40,0.00
1.00,2.00,0.80,0.10,5000,188,2001.80,4750,0,0.00,0,1.46,4.31,6.32,0.00
1.00,2.00,0.80,0.50,5000,144,2567.40,4774,0,0.00,0,1.42,4.62,8.12,0.00
1.00,2.00,0.80,0.20,5000,249,1998.00,4806,0,0.00,0,2.91,4.74,6.63,0.00
1.00,2.00,0.80,0.60,5000,126,2135.70,4095,0,0.00,0,2.91,4.82,7.12,0.00
1.00,2.00,0.80,0.70,5000,56,2482.70,4779,0,0.00,0,1.53,5.05,6.97,0.00
1.00,2.00,0.80,1.00,5000,553,2941.90,4955,0,0.00,0,2.57,5.77,7.74,0.00
