Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,2.00,0.80,0.70,5000,657,2187.10,4579,0,0.00,0,1.16,3.84,6.56,0.00,0
1.00,2.00,0.80,0.20,5000,1180,2437.20,4327,0,0.00,0,0.75,4.09,9.24,0.00,0
1.00,2.00,0.80,0.90,5000,1761,3504.10,4980,0,0.00,0,1.34,4.33,7.31,0.00,0
1.00,2.00,0.80,0.40,5000,515,3264.50,4856,0,0.00,0,2.05,5.56,8.68,0.00,0
1.00,2.00,0.80,0.00,5000,400,3212.80,4892,0,0.00,0,2.91,5.61,8.46,0.00,0
1.00,2.00,0.80,0.30,5000,90,3059.40,4593,0,0.00,0,3.39,5.70,9.28,0.00,0
1.00,2.00,0.80,0.80,5000,938,2788.60,4767,0,0.00,0,1.16,5.86,13.68,0.00,0
1.00,2.00,0.80,0.50,5000,183,3343.20,4777,0,0.00,0,2.61,5.96,10.62,0.00,0
1.00,2.00,0.80,0.10,5000,698,3202.60,4709,0,0.00,0,2.65,6.09,11.41,0.00,0
1.00,2.00,0.80,0.60,5000,945,3210.10,4918,0,0.00,0,3.32,6.31,9.39,0.00,0
1.00,2.00,0.80,1.00,5000,232,1990.50,4936,0,0.00,0,4.44,7.46,11.26,0.00,0
