Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.40,5000,363,1620.50,3260,0,0.00,0,1.34,2.21,3.32,0.00
1.00,2.00,0.80,0.30,5000,461,1988.10,3828,0,0.00,0,1.08,2.31,3.21,0.00
1.00,2.00,0.80,0.50,5000,235,2806.20,4999,0,0.00,0,0.75,2.31,3.35,0.00
1.00,2.00,0.80,0.10,5000,279,2898.10,4918,0,0.00,0,0.26,2.40,4.51,0.00
1.00,2.00,0.80,0.80,5000,482,2596.60,4820,0,0.00,0,1.86,2.40,4.10,0.00
1.00,2.00,0.80,0.70,5000,279,2263.20,4015,0,0.00,0,1.86,2.42,3.62,0.00
1.00,2.00,0.80,1.00,5000,137,953.40,3870,0,0.00,0,1.71,2.49,4.51,0.00
1.00,2.00,0.80,0.60,5000,272,2707.80,4834,0,0.00,0,1.86,2.56,3.28,0.00
1.00,2.00,0.80,0.20,5000,343,2007.30,4796,0,0.00,0,1.42,2.65,4.62,0.00
1.00,2.00,0.80,0.90,5000,290,1886.10,2950,0,0.00,0,1.86,2.78,4.40,0.00
1.00,2.00,0.80,0.00,5000,160,1767.80,4894,0,0.00,0,2.27,4.09,6.93,0.00
