Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.30,5000,1222,2829.40,4996,0,0.00,0,2.11,4.20,7.84,0.00
1.00,2.00,0.80,0.40,5000,252,2642.50,4691,0,0.00,0,0.40,4.92,10.05,0.00
1.00,2.00,0.80,0.80,5000,566,2729.50,4676,0,0.00,0,1.63,5.19,10.85,0.00
1.00,2.00,0.80,0.20,5000,1244,3147.70,4433,0,0.00,0,1.34,5.25,10.34,0.00
1.00,2.00,0.80,1.00,5000,779,3187.30,4915,0,0.00,0,1.31,5.27,11.40,0.00
1.00,2.00,0.80,0.60,5000,422,2715.60,4949,0,0.00,0,2.25,5.66,9.55,0.00
1.00,2.00,0.80,0.70,5000,132,2402.70,4918,0,0.00,0,2.98,5.84,8.75,0.00
1.00,2.00,0.80,0.90,5000,1693,3689.60,4843,0,0.00,0,1.56,5.87,10.24,0.00
1.00,2.00,0.80,0.50,5000,906,3137.70,4947,0,0.00,0,0.54,5.91,12.49,0.00
1.00,2.00,0.80,0.00,5000,484,2234.10,4963,0,0.00,0,1.27,5.94,10.56,0.00
1.00,2.00,0.80,0.10,5000,842,2792.40,4701,0,0.00,0,1.74,5.99,9.55,0.00
