Alpha,Beta,Rho,Heuristic weight,MSA patch bias,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,1.00,0.00,5000,53,1887.17,4894,0,0.00,0,0.29,1.36,3.27,0.00
1.00,2.00,0.80,0.90,0.00,5000,167,2361.10,4825,0,0.00,0,0.18,1.50,5.52,0.00
1.00,2.00,0.80,0.80,0.00,5000,111,1146.13,4716,0,0.00,0,0.22,1.53,6.61,0.00
1.00,2.00,0.80,0.60,0.00,5000,161,1714.17,4648,0,0.00,0,0.22,1.82,6.28,0.00
1.00,2.00,0.80,0.70,0.00,5000,44,1833.10,4914,0,0.00,0,0.11,1.82,8.17,0.00
1.00,2.00,0.80,0.90,0.25,5000,163,1668.00,4847,0,0.00,0,1.05,2.20,10.49,0.00
1.00,2.00,0.80,0.90,0.50,5000,163,1668.00,4847,0,0.00,0,1.05,2.20,10.49,0.00
1.00,2.00,0.80,1.00,0.25,5000,191,1692.93,4649,0,0.00,0,1.13,2.28,6.79,0.00
1.00,2.00,0.80,1.00,0.50,5000,191,1692.93,4649,0,0.00,0,1.13,2.28,6.79,0.00
1.00,2.00,0.80,0.70,0.75,5000,150,2061.30,4839,0,0.00,0,0.22,2.37,6.53,0.00
1.00,2.00,0.80,0.70,1.00,5000,150,2061.30,4839,0,0.00,0,0.22,2.37,6.53,0.00
1.00,2.00,0.80,1.00,0.75,5000,70,1496.70,4820,0,0.00,0,1.05,2.47,5.05,0.00
1.00,2.00,0.80,1.00,1.00,5000,70,1496.70,4820,0,0.00,0,1.05,2.47,5.05,0.00
1.00,2.00,0.80,0.80,0.75,5000,120,1520.37,4904,0,0.00,0,0.40,2.51,9.73,0.00
1.00,2.00,0.80,0.80,1.00,5000,120,1520.37,4904,0,0.00,0,0.40,2.51,9.73,0.00
1.00,2.00,0.80,0.80,0.25,5000,75,1890.50,4933,0,0.00,0,1.13,2.52,6.97,0.00
1.00,2.00,0.80,0.80,0.50,5000,75,1890.50,4933,0,0.00,0,1.13,2.52,6.97,0.00
1.00,2.00,0.80,0.60,0.25,5000,101,1483.77,4549,0,0.00,0,0.40,2.60,10.82,0.00
1.00,2.00,0.80,0.60,0.50,5000,101,1483.77,4549,0,0.00,0,0.40,2.60,10.82,0.00
1.00,2.00,0.80,0.50,0.00,5000,99,2273.13,4855,0,0.00,0,0.18,2.80,7.73,0.00
1.00,2.00,0.80,0.90,0.75,5000,62,2082.40,4978,0,0.00,0,1.05,2.80,10.71,0.00
1.00,2.00,0.80,0.90,1.00,5000,62,2082.40,4978,0,0.00,0,1.05,2.80,10.71,0.00
1.00,2.00,0.80,0.60,0.75,5000,113,1597.30,4825,0,0.00,0,0.33,2.81,9.73,0.00
1.00,2.00,0.80,0.60,1.00,5000,113,1597.30,4825,0,0.00,0,0.33,2.81,9.73,0.00
1.00,2.00,0.80,0.70,0.25,5000,171,1547.93,4612,0,0.00,0,0.33,2.86,6.86,0.00
1.00,2.00,0.80,0.70,0.50,5000,171,1547.93,4612,0,0.00,0,0.33,2.86,6.86,0.00
1.00,2.00,0.80,0.30,0.00,5000,149,1746.77,4390,0,0.00,0,0.25,3.01,7.62,0.00
1.00,2.00,0.80,0.40,0.25,5000,128,1772.83,4737,0,0.00,0,0.58,3.06,6.86,0.00
1.00,2.00,0.80,0.40,0.50,5000,128,1772.83,4737,0,0.00,0,0.58,3.06,6.86,0.00
1.00,2.00,0.80,0.40,0.00,5000,227,1893.97,4875,0,0.00,0,0.11,3.08,8.86,0.00
1.00,2.00,0.80,0.50,0.25,5000,95,1850.30,4869,0,0.00,0,0.22,3.10,7.62,0.00
1.00,2.00,0.80,0.50,0.50,5000,95,1850.30,4869,0,0.00,0,0.22,3.10,7.62,0.00
1.00,2.00,0.80,0.50,0.75,5000,65,1677.93,4842,0,0.00,0,0.33,3.24,9.84,0.00
1.00,2.00,0.80,0.50,1.00,5000,65,1677.93,4842,0,0.00,0,0.33,3.24,9.84,0.00
1.00,2.00,0.80,0.30,0.25,5000,232,1887.97,4916,0,0.00,0,0.22,3.51,7.62,0.00
1.00,2.00,0.80,0.30,0.50,5000,232,1887.97,4916,0,0.00,0,0.22,3.51,7.62,0.00
1.00,2.00,0.80,0.20,0.00,5000,132,2701.80,4915,0,0.00,0,0.11,3.56,10.09,0.00
1.00,2.00,0.80,0.40,0.75,5000,77,2013.70,4487,0,0.00,0,0.22,3.64,8.64,0.00
1.00,2.00,0.80,0.40,1.00,5000,77,2013.70,4487,0,0.00,0,0.22,3.64,8.64,0.00
1.00,2.00,0.80,0.30,0.75,5000,175,1812.20,4880,0,0.00,0,0.33,4.07,8.53,0.00
1.00,2.00,0.80,0.30,1.00,5000,175,1812.20,4880,0,0.00,0,0.33,4.07,8.53,0.00
1.00,2.00,0.80,0.20,0.25,5000,88,2445.63,4942,0,0.00,0,0.33,4.25,9.04,0.00
1.00,2.00,0.80,0.20,0.50,5000,88,2445.63,4942,0,0.00,0,0.33,4.25,9.04,0.00
1.00,2.00,0.80,0.10,0.75,5000,126,2635.23,4954,0,0.00,0,0.22,4.61,11.54,0.00
1.00,2.00,0.80,0.10,1.00,5000,126,2635.23,4954,0,0.00,0,0.22,4.61,11.54,0.00
1.00,2.00,0.80,0.10,0.00,5000,226,2677.40,4900,0,0.00,0,0.33,4.65,10.74,0.00
1.00,2.00,0.80,0.10,0.25,5000,505,2254.23,4349,0,0.00,0,1.05,4.78,9.58,0.00
1.00,2.00,0.80,0.10,0.50,5000,505,2254.23,4349,0,0.00,0,1.05,4.78,9.58,0.00
1.00,2.00,0.80,0.20,0.75,5000,287,2359.37,4890,0,0.00,0,1.23,4.99,8.75,0.00
1.00,2.00,0.80,0.20,1.00,5000,287,2359.37,4890,0,0.00,0,1.23,4.99,8.75,0.00
1.00,2.00,0.80,0.00,0.00,5000,202,2556.70,4963,0,0.00,0,1.27,5.80,10.56,0.00
