Used local search,Alpha,Beta,Rho,pBest,CMSA impact on initial pheromones,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
true,1.00,5.00,0.80,0.05,0.00,0.00,19,1286.00,0.825816,80.00,72.727273,28
true,1.00,5.00,0.80,0.05,0.00,0.25,4,1286.00,0.164852,96.00,69.696970,34
true,1.00,5.00,0.80,0.05,0.00,0.50,23,1286.00,0.000000,100.00,69.696970,39
true,1.00,5.00,0.80,0.05,0.00,0.75,34,1286.00,0.000000,100.00,69.696970,43
true,1.00,5.00,0.80,0.05,0.00,1.00,13,1286.00,0.000000,100.00,69.696970,45
true,1.00,5.00,0.80,0.05,0.25,0.00,35,1286.00,0.247278,94.00,72.727273,28
true,1.00,5.00,0.80,0.05,0.25,0.25,7,1286.00,0.000000,100.00,69.696970,35
true,1.00,5.00,0.80,0.05,0.25,0.50,6,1286.00,0.000000,100.00,72.727273,39
true,1.00,5.00,0.80,0.05,0.25,0.75,6,1286.00,0.000000,100.00,69.696970,43
true,1.00,5.00,0.80,0.05,0.25,1.00,4,1286.00,0.000000,100.00,72.727273,46
true,1.00,5.00,0.80,0.05,0.50,0.00,3,1286.00,0.231726,94.00,69.696970,30
true,1.00,5.00,0.80,0.05,0.50,0.25,0,1286.00,0.082426,98.00,69.696970,35
true,1.00,5.00,0.80,0.05,0.50,0.50,11,1286.00,0.000000,100.00,69.696970,39
true,1.00,5.00,0.80,0.05,0.50,0.75,2,1286.00,0.000000,100.00,66.666667,44
true,1.00,5.00,0.80,0.05,0.50,1.00,19,1286.00,0.000000,100.00,69.696970,47
true,1.00,5.00,0.80,0.05,0.75,0.00,4,1286.00,0.164852,96.00,72.727273,29
true,1.00,5.00,0.80,0.05,0.75,0.25,0,1286.00,0.066874,98.00,72.727273,35
true,1.00,5.00,0.80,0.05,0.75,0.50,6,1286.00,0.000000,100.00,72.727273,39
true,1.00,5.00,0.80,0.05,0.75,0.75,7,1286.00,0.000000,100.00,72.727273,43
true,1.00,5.00,0.80,0.05,0.75,1.00,30,1286.00,0.000000,100.00,69.696970,46
true,1.00,5.00,0.80,0.05,1.00,0.00,11,1286.00,0.660964,84.00,72.727273,29
true,1.00,5.00,0.80,0.05,1.00,0.25,5,1286.00,0.000000,100.00,75.757576,35
true,1.00,5.00,0.80,0.05,1.00,0.50,5,1286.00,0.000000,100.00,72.727273,40
true,1.00,5.00,0.80,0.05,1.00,0.75,4,1286.00,0.000000,100.00,72.727273,43
true,1.00,5.00,0.80,0.05,1.00,1.00,31,1286.00,0.000000,100.00,69.696970,46
