Used local search,Alpha,Beta,Rho,pBest,CMSA impact on initial pheromones,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
false,1.00,5.00,0.80,0.05,0.00,0.00,24,1286.00,2.776050,36.00,66.666667,26
false,1.00,5.00,0.80,0.05,0.00,0.25,52,1286.00,1.813375,52.00,72.727273,28
false,1.00,5.00,0.80,0.05,0.00,0.50,12,1286.00,0.606532,82.00,72.727273,28
false,1.00,5.00,0.80,0.05,0.00,0.75,35,1286.00,1.027994,68.00,72.727273,29
false,1.00,5.00,0.80,0.05,0.00,1.00,79,1286.00,0.880249,68.00,69.696970,31
false,1.00,5.00,0.80,0.05,0.25,0.00,86,1286.00,3.121306,28.00,69.696970,25
false,1.00,5.00,0.80,0.05,0.25,0.25,15,1286.00,1.934681,54.00,69.696970,27
false,1.00,5.00,0.80,0.05,0.25,0.50,15,1286.00,0.908243,72.00,66.666667,29
false,1.00,5.00,0.80,0.05,0.25,0.75,67,1286.00,0.973561,70.00,69.696970,30
false,1.00,5.00,0.80,0.05,0.25,1.00,84,1286.00,1.003110,64.00,72.727273,31
false,1.00,5.00,0.80,0.05,0.50,0.00,37,1286.00,2.682737,34.00,69.696970,25
false,1.00,5.00,0.80,0.05,0.50,0.25,29,1286.00,2.099533,46.00,69.696970,27
false,1.00,5.00,0.80,0.05,0.50,0.50,28,1286.00,0.939347,76.00,66.666667,28
false,1.00,5.00,0.80,0.05,0.50,0.75,66,1286.00,1.082426,66.00,69.696970,29
false,1.00,5.00,0.80,0.05,0.50,1.00,42,1286.00,0.797823,72.00,72.727273,31
false,1.00,5.00,0.80,0.05,0.75,0.00,23,1286.00,2.659409,38.00,72.727273,26
false,1.00,5.00,0.80,0.05,0.75,0.25,43,1286.00,1.965785,50.00,69.696970,27
false,1.00,5.00,0.80,0.05,0.75,0.50,22,1286.00,0.892691,74.00,69.696970,28
false,1.00,5.00,0.80,0.05,0.75,0.75,85,1286.00,0.998445,72.00,69.696970,30
false,1.00,5.00,0.80,0.05,0.75,1.00,96,1286.00,1.419907,54.00,69.696970,30
false,1.00,5.00,0.80,0.05,1.00,0.00,24,1286.00,2.867807,38.00,66.666667,25
false,1.00,5.00,0.80,0.05,1.00,0.25,47,1286.00,1.852255,54.00,69.696970,27
false,1.00,5.00,0.80,0.05,1.00,0.50,19,1286.00,0.956454,76.00,72.727273,29
false,1.00,5.00,0.80,0.05,1.00,0.75,47,1286.00,0.861586,70.00,69.696970,29
false,1.00,5.00,0.80,0.05,1.00,1.00,89,1286.00,1.222395,56.00,69.696970,30
