Alpha,Beta,Evaporation,Q,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA
0.750000,3.000000,0.500000,0.000000,33,1782.000000,26.279701,0.000000,62.857143
0.750000,3.000000,0.500000,0.250000,97,1499.000000,3.462322,0.000000,71.428571
0.750000,3.000000,0.500000,0.500000,23,1499.000000,3.394433,0.000000,71.428571
0.750000,3.000000,0.500000,0.750000,75,1500.000000,3.978276,0.000000,68.571429
0.750000,3.000000,0.500000,1.000000,71,1505.000000,3.862865,0.000000,68.571429
0.750000,3.000000,0.600000,0.000000,23,1777.000000,26.401901,0.000000,54.285714
0.750000,3.000000,0.600000,0.250000,85,1499.000000,3.903598,0.000000,71.428571
0.750000,3.000000,0.600000,0.500000,62,1499.000000,3.516633,0.000000,71.428571
0.750000,3.000000,0.600000,0.750000,76,1511.000000,3.706721,0.000000,74.285714
0.750000,3.000000,0.600000,1.000000,72,1499.000000,4.019009,0.000000,71.428571
0.750000,3.000000,0.700000,0.000000,40,1683.000000,25.627970,0.000000,68.571429
0.750000,3.000000,0.700000,0.250000,32,1499.000000,3.489477,0.000000,71.428571
0.750000,3.000000,0.700000,0.500000,65,1502.000000,3.564155,0.000000,68.571429
0.750000,3.000000,0.700000,0.750000,75,1499.000000,2.932790,0.000000,71.428571
0.750000,3.000000,0.700000,1.000000,70,1505.000000,4.141208,0.000000,71.428571
0.750000,3.000000,0.800000,0.000000,66,1738.000000,25.485404,0.000000,51.428571
0.750000,3.000000,0.800000,0.250000,69,1505.000000,3.584521,0.000000,71.428571
0.750000,3.000000,0.800000,0.500000,23,1505.000000,3.727088,0.000000,68.571429
0.750000,3.000000,0.800000,0.750000,91,1499.000000,3.265445,0.000000,68.571429
0.750000,3.000000,0.800000,1.000000,82,1499.000000,3.190767,0.000000,71.428571
0.750000,4.000000,0.500000,0.000000,8,1618.000000,14.460285,0.000000,62.857143
0.750000,4.000000,0.500000,0.250000,67,1499.000000,4.188730,0.000000,71.428571
0.750000,4.000000,0.500000,0.500000,77,1499.000000,3.421589,0.000000,71.428571
0.750000,4.000000,0.500000,0.750000,54,1499.000000,3.489477,0.000000,71.428571
0.750000,4.000000,0.500000,1.000000,47,1503.000000,3.632043,0.000000,71.428571
0.750000,4.000000,0.600000,0.000000,75,1688.000000,18.187373,0.000000,65.714286
0.750000,4.000000,0.600000,0.250000,45,1499.000000,3.190767,0.000000,71.428571
0.750000,4.000000,0.600000,0.500000,98,1499.000000,3.448744,0.000000,71.428571
0.750000,4.000000,0.600000,0.750000,81,1505.000000,3.937542,0.000000,68.571429
0.750000,4.000000,0.600000,1.000000,61,1490.000000,3.340122,0.000000,77.142857
0.750000,4.000000,0.700000,0.000000,50,1662.000000,16.123557,0.000000,62.857143
0.750000,4.000000,0.700000,0.250000,61,1499.000000,3.034623,0.000000,71.428571
0.750000,4.000000,0.700000,0.500000,31,1502.000000,3.380855,0.000000,71.428571
0.750000,4.000000,0.700000,0.750000,35,1506.000000,3.794976,0.000000,74.285714
0.750000,4.000000,0.700000,1.000000,76,1502.000000,3.557366,0.000000,71.428571
0.750000,4.000000,0.800000,0.000000,53,1627.000000,14.080109,0.000000,51.428571
0.750000,4.000000,0.800000,0.250000,75,1499.000000,3.482688,0.000000,68.571429
0.750000,4.000000,0.800000,0.500000,62,1499.000000,3.414800,0.000000,68.571429
0.750000,4.000000,0.800000,0.750000,91,1499.000000,3.489477,0.000000,71.428571
0.750000,4.000000,0.800000,1.000000,25,1484.000000,3.557366,0.000000,68.571429
0.750000,5.000000,0.500000,0.000000,95,1506.000000,10.984386,0.000000,74.285714
0.750000,5.000000,0.500000,0.250000,59,1499.000000,3.414800,0.000000,71.428571
0.750000,5.000000,0.500000,0.500000,56,1499.000000,3.598099,0.000000,71.428571
0.750000,5.000000,0.500000,0.750000,65,1499.000000,3.333333,0.000000,68.571429
0.750000,5.000000,0.500000,1.000000,71,1505.000000,3.835709,0.000000,71.428571
0.750000,5.000000,0.600000,0.000000,9,1605.000000,11.751527,0.000000,68.571429
0.750000,5.000000,0.600000,0.250000,46,1505.000000,3.917176,0.000000,71.428571
0.750000,5.000000,0.600000,0.500000,97,1499.000000,3.353700,0.000000,71.428571
0.750000,5.000000,0.600000,0.750000,71,1499.000000,3.482688,0.000000,71.428571
