Alpha,Beta,Rho,pBest,CMSA impact on initial pheromones,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
1.00,5.00,0.80,0.05,0.00,0.00,10,1530,0.15,42.00,73.68,20
1.00,5.00,0.80,0.05,0.00,0.25,10,1530,0.04,74.00,73.68,13
1.00,5.00,0.80,0.05,0.00,0.50,48,1530,0.01,94.00,73.68,11
1.00,5.00,0.80,0.05,0.00,0.75,61,1530,0.00,100.00,73.68,16
1.00,5.00,0.80,0.05,0.00,1.00,49,1530,0.00,100.00,73.68,23
1.00,5.00,0.80,0.05,0.25,0.00,7,1530,0.09,60.00,73.68,16
1.00,5.00,0.80,0.05,0.25,0.25,12,1530,0.03,80.00,71.05,12
1.00,5.00,0.80,0.05,0.25,0.50,6,1530,0.00,98.00,73.68,9
1.00,5.00,0.80,0.05,0.25,0.75,23,1530,0.00,100.00,73.68,16
1.00,5.00,0.80,0.05,0.25,1.00,62,1530,0.01,98.00,71.05,25
1.00,5.00,0.80,0.05,0.50,0.00,23,1530,0.15,58.00,73.68,16
1.00,5.00,0.80,0.05,0.50,0.25,11,1530,0.03,78.00,73.68,12
1.00,5.00,0.80,0.05,0.50,0.50,31,1530,0.00,100.00,71.05,8
1.00,5.00,0.80,0.05,0.50,0.75,38,1530,0.00,98.00,73.68,17
1.00,5.00,0.80,0.05,0.50,1.00,51,1530,0.00,100.00,73.68,24
1.00,5.00,0.80,0.05,0.75,0.00,6,1530,0.13,54.00,68.42,17
1.00,5.00,0.80,0.05,0.75,0.25,11,1530,0.03,76.00,73.68,13
1.00,5.00,0.80,0.05,0.75,0.50,39,1530,0.01,96.00,71.05,10
1.00,5.00,0.80,0.05,0.75,0.75,33,1530,0.00,100.00,71.05,18
1.00,5.00,0.80,0.05,0.75,1.00,57,1530,0.01,94.00,73.68,24
1.00,5.00,0.80,0.05,1.00,0.00,11,1530,0.18,34.00,73.68,21
1.00,5.00,0.80,0.05,1.00,0.25,10,1530,0.02,82.00,76.32,11
1.00,5.00,0.80,0.05,1.00,0.50,14,1530,0.02,96.00,73.68,10
1.00,5.00,0.80,0.05,1.00,0.75,20,1530,0.00,100.00,73.68,16
1.00,5.00,0.80,0.05,1.00,1.00,65,1530,0.00,100.00,68.42,24
