Used local search,Alpha,Beta,Rho,pBest,CMSA probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
false,1.00,5.00,0.80,0.05,0.00,44,1530.00,2.154248,14.00,71.052632,35
false,1.00,5.00,0.80,0.05,0.25,56,1530.00,1.283660,26.00,73.684211,38
false,1.00,5.00,0.80,0.05,0.50,59,1530.00,1.632680,16.00,73.684211,40
false,1.00,5.00,0.80,0.05,0.75,82,1530.00,1.776471,16.00,73.684211,41
false,1.00,5.00,0.80,0.05,1.00,93,1530.00,2.487582,8.00,76.315789,43
true,1.00,5.00,0.80,0.05,0.00,21,1530.00,0.112418,46.00,71.052632,90
true,1.00,5.00,0.80,0.05,0.25,7,1530.00,0.054902,68.00,71.052632,101
true,1.00,5.00,0.80,0.05,0.50,9,1530.00,0.005229,96.00,73.684211,107
true,1.00,5.00,0.80,0.05,0.75,35,1530.00,0.000000,100.00,73.684211,113
true,1.00,5.00,0.80,0.05,1.00,51,1530.00,0.007843,98.00,71.052632,114
