Used local search,Alpha,Beta,Rho,pBest,CMSA impact on initial pheromones,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
true,1.00,5.00,0.80,0.05,0.00,0.00,26,1613.00,0.060756,96.00,70.454545,91
true,1.00,5.00,0.80,0.05,0.00,0.25,19,1613.00,0.000000,100.00,70.454545,99
true,1.00,5.00,0.80,0.05,0.00,0.50,25,1613.00,0.000000,100.00,72.727273,104
true,1.00,5.00,0.80,0.05,0.00,0.75,30,1613.00,0.000000,100.00,72.727273,109
true,1.00,5.00,0.80,0.05,0.00,1.00,49,1613.00,0.000000,100.00,72.727273,113
true,1.00,5.00,0.80,0.05,0.25,0.00,9,1613.00,0.028518,98.00,65.909091,87
true,1.00,5.00,0.80,0.05,0.25,0.25,11,1613.00,0.000000,100.00,75.000000,95
true,1.00,5.00,0.80,0.05,0.25,0.50,18,1613.00,0.000000,100.00,70.454545,103
true,1.00,5.00,0.80,0.05,0.25,0.75,31,1613.00,0.000000,100.00,68.181818,109
true,1.00,5.00,0.80,0.05,0.25,1.00,49,1613.00,0.012399,98.00,79.545455,113
true,1.00,5.00,0.80,0.05,0.50,0.00,7,1613.00,0.234346,84.00,75.000000,88
true,1.00,5.00,0.80,0.05,0.50,0.25,34,1613.00,0.028518,98.00,72.727273,96
true,1.00,5.00,0.80,0.05,0.50,0.50,9,1613.00,0.000000,100.00,72.727273,108
true,1.00,5.00,0.80,0.05,0.50,0.75,23,1613.00,0.000000,100.00,68.181818,110
true,1.00,5.00,0.80,0.05,0.50,1.00,58,1613.00,0.012399,98.00,70.454545,115
true,1.00,5.00,0.80,0.05,0.75,0.00,4,1613.00,0.083075,94.00,72.727273,87
true,1.00,5.00,0.80,0.05,0.75,0.25,10,1613.00,0.000000,100.00,75.000000,96
true,1.00,5.00,0.80,0.05,0.75,0.50,10,1613.00,0.000000,100.00,70.454545,104
true,1.00,5.00,0.80,0.05,0.75,0.75,54,1613.00,0.000000,100.00,72.727273,109
true,1.00,5.00,0.80,0.05,0.75,1.00,63,1613.00,0.000000,100.00,70.454545,113
true,1.00,5.00,0.80,0.05,1.00,0.00,19,1613.00,0.040918,96.00,68.181818,87
true,1.00,5.00,0.80,0.05,1.00,0.25,12,1613.00,0.000000,100.00,72.727273,96
true,1.00,5.00,0.80,0.05,1.00,0.50,41,1613.00,0.000000,100.00,75.000000,103
true,1.00,5.00,0.80,0.05,1.00,0.75,10,1613.00,0.000000,100.00,72.727273,109
true,1.00,5.00,0.80,0.05,1.00,1.00,77,1613.00,0.000000,100.00,70.454545,117
