Alpha,Beta,Rho,pBest,CMSA impact on initial pheromones,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
1.00,5.00,0.80,0.05,0.00,0.00,63,1613,3.49,6.00,70.45,25
1.00,5.00,0.80,0.05,0.25,0.00,59,1613,3.50,2.00,72.73,27
1.00,5.00,0.80,0.05,0.50,0.00,36,1613,3.50,8.00,70.45,25
1.00,5.00,0.80,0.05,0.75,0.00,85,1613,3.04,6.00,75.00,26
1.00,5.00,0.80,0.05,1.00,0.00,81,1613,2.80,6.00,65.91,26
1.00,5.00,0.80,0.05,1.25,0.00,70,1613,3.33,2.00,68.18,26
1.00,5.00,0.80,0.05,1.50,0.00,44,1613,3.26,8.00,75.00,25
1.00,5.00,0.80,0.05,1.75,0.00,24,1613,2.95,8.00,68.18,26
1.00,5.00,0.80,0.05,2.00,0.00,75,1613,3.55,8.00,70.45,25
1.00,5.00,0.80,0.05,2.25,0.00,69,1613,3.00,6.00,72.73,26
1.00,5.00,0.80,0.05,2.50,0.00,83,1613,3.15,6.00,70.45,26
1.00,5.00,0.80,0.05,2.75,0.00,22,1613,2.86,14.00,75.00,25
1.00,5.00,0.80,0.05,3.00,0.00,22,1613,3.09,8.00,72.73,26
1.00,5.00,0.80,0.05,3.25,0.00,59,1613,3.18,8.00,72.73,26
1.00,5.00,0.80,0.05,3.50,0.00,95,1613,2.66,4.00,70.45,27
1.00,5.00,0.80,0.05,3.75,0.00,20,1613,3.42,2.00,72.73,26
1.00,5.00,0.80,0.05,4.00,0.00,58,1613,2.85,6.00,70.45,26
1.00,5.00,0.80,0.05,4.25,0.00,72,1613,3.25,6.00,72.73,28
1.00,5.00,0.80,0.05,4.50,0.00,54,1613,3.18,6.00,68.18,26
1.00,5.00,0.80,0.05,4.75,0.00,77,1613,3.17,4.00,70.45,26
1.00,5.00,0.80,0.05,5.00,0.00,62,1613,3.20,8.00,65.91,26
1.00,5.00,0.80,0.05,5.25,0.00,76,1613,3.18,8.00,65.91,25
1.00,5.00,0.80,0.05,5.50,0.00,90,1613,2.86,4.00,72.73,26
1.00,5.00,0.80,0.05,5.75,0.00,24,1613,3.49,6.00,70.45,25
1.00,5.00,0.80,0.05,6.00,0.00,71,1613,2.50,4.00,68.18,26
