Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Avg best at iteration,Avg best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.00,0.10,5,960,495.10,4.60,0.00,46
1.00,5.00,0.80,0.05,0.00,0.20,10,480,241.10,4.88,0.00,38
1.00,5.00,0.80,0.05,0.00,0.30,15,320,183.74,4.56,0.00,34
1.00,5.00,0.80,0.05,0.00,0.40,20,240,137.62,5.23,0.00,33
1.00,5.00,0.80,0.05,0.00,0.50,24,200,120.16,4.89,0.00,32
1.00,5.00,0.80,0.05,0.00,0.60,29,165,87.74,5.68,0.00,31
1.00,5.00,0.80,0.05,0.00,0.70,34,141,83.22,5.33,0.00,31
1.00,5.00,0.80,0.05,0.00,0.80,39,123,78.88,4.94,0.00,31
1.00,5.00,0.80,0.05,0.00,0.90,44,109,69.16,5.51,0.00,31
1.00,5.00,0.80,0.05,0.00,1.00,48,100,58.64,5.41,0.00,31
1.00,5.00,0.80,0.05,0.25,0.10,5,960,745.50,5.14,0.00,46
1.00,5.00,0.80,0.05,0.25,0.20,10,480,330.44,4.76,0.00,38
1.00,5.00,0.80,0.05,0.25,0.30,15,320,200.62,5.34,0.00,35
1.00,5.00,0.80,0.05,0.25,0.40,20,240,158.82,5.17,0.00,34
1.00,5.00,0.80,0.05,0.25,0.50,24,200,138.02,4.92,0.00,33
1.00,5.00,0.80,0.05,0.25,0.60,29,165,115.02,4.25,0.00,33
1.00,5.00,0.80,0.05,0.25,0.70,34,141,96.96,4.77,0.00,32
1.00,5.00,0.80,0.05,0.25,0.80,39,123,79.54,4.78,0.00,31
1.00,5.00,0.80,0.05,0.25,0.90,44,109,74.36,4.79,0.00,31
1.00,5.00,0.80,0.05,0.25,1.00,48,100,67.68,5.42,0.00,31
1.00,5.00,0.80,0.05,0.50,0.10,5,960,774.28,6.06,0.00,46
1.00,5.00,0.80,0.05,0.50,0.20,10,480,368.38,5.90,0.00,38
1.00,5.00,0.80,0.05,0.50,0.30,15,320,244.86,6.14,0.00,35
1.00,5.00,0.80,0.05,0.50,0.40,20,240,185.20,5.87,0.00,34
1.00,5.00,0.80,0.05,0.50,0.50,24,200,161.36,6.06,0.00,34
1.00,5.00,0.80,0.05,0.50,0.60,29,165,129.18,5.98,0.00,33
1.00,5.00,0.80,0.05,0.50,0.70,34,141,110.58,5.50,0.00,32
1.00,5.00,0.80,0.05,0.50,0.80,39,123,96.60,5.83,0.00,32
1.00,5.00,0.80,0.05,0.50,0.90,44,109,83.68,5.14,0.00,32
1.00,5.00,0.80,0.05,0.50,1.00,48,100,79.82,6.48,0.00,32
1.00,5.00,0.80,0.05,0.75,0.10,5,960,746.68,8.14,0.00,47
1.00,5.00,0.80,0.05,0.75,0.20,10,480,381.60,7.69,0.00,38
1.00,5.00,0.80,0.05,0.75,0.30,15,320,269.92,6.74,0.00,36
1.00,5.00,0.80,0.05,0.75,0.40,20,240,194.30,6.92,0.00,34
1.00,5.00,0.80,0.05,0.75,0.50,24,200,166.18,7.84,0.00,34
1.00,5.00,0.80,0.05,0.75,0.60,29,165,126.68,7.43,0.00,33
1.00,5.00,0.80,0.05,0.75,0.70,34,141,116.62,7.19,0.00,33
1.00,5.00,0.80,0.05,0.75,0.80,39,123,101.64,6.79,0.00,32
1.00,5.00,0.80,0.05,0.75,0.90,44,109,92.06,7.69,0.00,32
1.00,5.00,0.80,0.05,0.75,1.00,48,100,84.12,6.53,0.00,32
1.00,5.00,0.80,0.05,1.00,0.10,5,960,776.58,8.37,0.00,46
1.00,5.00,0.80,0.05,1.00,0.20,10,480,368.34,8.29,0.00,38
1.00,5.00,0.80,0.05,1.00,0.30,15,320,272.48,7.84,0.00,36
1.00,5.00,0.80,0.05,1.00,0.40,20,240,202.98,7.78,0.00,34
1.00,5.00,0.80,0.05,1.00,0.50,24,200,169.50,6.65,0.00,33
1.00,5.00,0.80,0.05,1.00,0.60,29,165,135.94,7.18,0.00,33
1.00,5.00,0.80,0.05,1.00,0.70,34,141,121.94,7.52,0.00,32
1.00,5.00,0.80,0.05,1.00,0.80,39,123,104.72,7.89,0.00,32
1.00,5.00,0.80,0.05,1.00,0.90,44,109,89.40,7.41,0.00,32
1.00,5.00,0.80,0.05,1.00,1.00,48,100,82.32,7.57,0.00,32
