Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.00,100,41,76.97,98,0,0.00,0,0.45,3.70,9.52,0.00
1.00,2.00,0.80,0.10,100,35,74.90,99,0,0.00,0,0.06,4.45,9.52,0.00
1.00,2.00,0.80,0.20,100,44,77.87,99,0,0.00,0,0.06,4.53,9.85,0.00
1.00,2.00,0.80,0.40,100,28,68.10,99,0,0.00,0,0.73,4.63,9.40,0.00
1.00,2.00,0.80,0.50,100,33,67.93,99,0,0.00,0,0.73,4.65,9.57,0.00
1.00,2.00,0.80,0.30,100,16,59.47,91,0,0.00,0,1.13,4.72,8.39,0.00
1.00,2.00,0.80,0.60,100,39,68.50,96,0,0.00,0,1.13,4.78,10.92,0.00
1.00,2.00,0.80,0.70,100,41,74.00,98,0,0.00,0,0.56,5.05,10.14,0.00
1.00,2.00,0.80,1.00,100,34,72.03,99,0,0.00,0,2.31,5.20,9.01,0.00
1.00,2.00,0.80,0.90,100,28,70.60,99,0,0.00,0,1.01,5.21,11.32,0.00
1.00,2.00,0.80,0.80,100,27,67.77,96,0,0.00,0,0.90,5.24,8.39,0.00
