From,To,Distance,CMSA,Normalized CMSA,High CMSA,Found-optimal edge
0,33,20.000000,45.000000,0.818182,false,true
1,2,16.000000,55.000000,1.000000,true,false
2,13,37.000000,0.000000,0.000000,false,true
3,48,22.000000,55.000000,1.000000,true,true
4,7,34.000000,5.000000,0.090909,false,true
5,6,40.000000,1.000000,0.018182,false,true
6,5,31.000000,55.000000,1.000000,true,false
7,32,26.000000,0.000000,0.000000,false,true
8,36,37.000000,54.000000,0.981818,false,true
9,37,41.000000,55.000000,1.000000,true,true
10,51,6.000000,15.000000,0.272727,false,true
11,38,12.000000,54.000000,0.981818,false,true
12,14,25.000000,0.000000,0.000000,false,false
13,35,50.000000,1.000000,0.018182,false,true
14,52,34.000000,0.000000,0.000000,false,false
15,17,16.000000,0.000000,0.000000,false,false
16,15,7.000000,37.000000,0.672727,false,false
17,16,9.000000,36.000000,0.654545,false,false
18,39,19.000000,55.000000,1.000000,true,true
19,18,19.000000,55.000000,1.000000,true,false
20,40,12.000000,55.000000,1.000000,true,true
21,50,14.000000,55.000000,1.000000,true,true
22,41,30.000000,3.000000,0.054545,false,true
23,54,22.000000,55.000000,1.000000,true,true
24,42,12.000000,55.000000,1.000000,true,true
25,24,20.000000,55.000000,1.000000,true,true
26,25,8.000000,55.000000,1.000000,true,true
27,49,9.000000,55.000000,1.000000,true,true
28,53,16.000000,55.000000,1.000000,true,true
29,26,36.000000,22.000000,0.400000,false,true
30,46,34.000000,1.000000,0.018182,false,true
31,47,29.000000,55.000000,1.000000,true,true
32,8,7.000000,55.000000,1.000000,true,true
33,55,20.000000,47.000000,0.854545,false,false
34,1,30.000000,55.000000,1.000000,true,true
35,4,38.000000,2.000000,0.036364,false,true
36,9,11.000000,55.000000,1.000000,true,true
37,11,71.000000,0.000000,0.000000,false,true
38,10,29.000000,6.000000,0.109091,false,true
39,19,85.000000,0.000000,0.000000,false,false
40,20,12.000000,1.000000,0.018182,false,false
41,21,10.000000,54.000000,0.981818,false,true
42,22,53.000000,0.000000,0.000000,false,true
43,44,35.000000,53.000000,0.963636,false,true
44,28,9.000000,55.000000,1.000000,true,true
45,30,26.000000,55.000000,1.000000,true,true
46,29,38.000000,0.000000,0.000000,false,false
47,31,61.000000,1.000000,0.018182,false,false
48,3,22.000000,0.000000,0.000000,false,false
49,45,39.000000,0.000000,0.000000,false,true
50,23,17.000000,55.000000,1.000000,true,true
51,12,24.000000,17.000000,0.309091,false,false
52,0,7.000000,31.000000,0.563636,false,true
53,43,26.000000,4.000000,0.072727,false,true
54,27,14.000000,55.000000,1.000000,true,true
55,34,8.000000,55.000000,1.000000,true,true
