Threshold,High MSA support edges,High MSA support precision [%],High MSA support recall [%],High MSA support lift,Cycle-cover high-MSA support edges,Cycle-cover high-MSA support precision [%],Cycle-cover high-MSA support recall [%],Cycle-cover high-MSA support lift,High-MSA support edges removed by cycle cover,High-MSA support found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-MSA support edges [%],Cycle-cover share of high-MSA support found-optimal edges [%]
0.100000,68,58.82,50.00,22.647059,36,80.56,36.25,31.013889,32,11,0.217320,0.137500,52.94,72.50
0.200000,64,59.38,47.50,22.859375,35,80.00,35.00,30.800000,29,10,0.206250,0.125000,54.69,73.68
0.300000,62,59.68,46.25,22.975806,34,79.41,33.75,30.573529,28,10,0.197343,0.125000,54.84,72.97
0.400000,57,57.89,41.25,22.289474,33,81.82,33.75,31.500000,24,6,0.239234,0.075000,57.89,81.82
0.500000,55,56.36,38.75,21.700000,32,81.25,32.50,31.281250,23,5,0.248864,0.062500,58.18,83.87
0.600000,54,55.56,37.50,21.388889,31,80.65,31.25,31.048387,23,5,0.250896,0.062500,57.41,83.33
0.700000,49,59.18,36.25,22.785714,29,86.21,31.25,33.189655,20,4,0.270232,0.050000,59.18,86.21
0.800000,47,61.70,36.25,23.755319,29,86.21,31.25,33.189655,18,4,0.245048,0.050000,61.70,86.21
0.900000,45,62.22,35.00,23.955556,27,88.89,30.00,34.222222,18,4,0.266667,0.050000,60.00,85.71
1.000000,30,80.00,30.00,30.800000,23,86.96,25.00,33.478261,7,4,0.069565,0.050000,76.67,83.33
