Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.80,500,28,233.93,499,0,0.00,0,0.00,1.76,4.98,6.67
1.00,2.00,0.80,1.00,500,43,264.27,450,0,0.00,0,0.00,1.80,6.16,6.67
1.00,2.00,0.80,0.90,500,26,201.13,484,0,0.00,0,0.00,2.06,5.78,3.33
1.00,2.00,0.80,0.20,500,47,259.67,486,0,0.00,0,0.00,2.10,5.78,6.67
1.00,2.00,0.80,0.60,500,32,214.07,485,0,0.00,0,0.25,2.20,5.78,0.00
1.00,2.00,0.80,0.40,500,32,215.53,483,0,0.00,0,0.00,2.27,6.03,6.67
1.00,2.00,0.80,0.70,500,43,193.33,487,0,0.00,0,0.00,2.52,5.60,3.33
1.00,2.00,0.80,0.30,500,23,201.30,495,0,0.00,0,0.00,2.61,9.08,10.00
1.00,2.00,0.80,0.10,500,43,258.77,489,0,0.00,0,0.25,2.91,6.22,0.00
1.00,2.00,0.80,0.50,500,32,258.97,490,0,0.00,0,0.25,3.01,8.08,0.00
1.00,2.00,0.80,0.00,500,58,225.27,498,0,0.00,0,0.00,3.24,12.06,3.33
