Tour,Commonality with CMSA,Min commonality with MSA,Avg commonality with MSA,Max commonality with MSA
"[0,33,2,13,35,4,5,6,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,26,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,28,53,43,44,29,52]",70.91,43.64,48.34,56.36
"[0,33,2,13,35,4,5,6,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,26,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,44,28,53,43,29,52]",70.91,43.64,48.41,56.36
"[0,33,2,13,35,4,5,6,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,52,26,25,24,42,21,22,41,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,44,28,53,43,29]",70.91,41.82,46.49,56.36
"[0,33,2,13,35,4,5,6,7,32,8,36,9,37,11,19,20,40,18,39,38,10,51,14,12,15,16,17,26,25,24,42,21,22,41,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,44,53,43,28,29,52]",72.73,40.00,45.16,52.73
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,19,20,40,18,39,38,10,51,14,12,15,16,17,26,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,44,28,53,43,29,52]",72.73,41.82,46.92,56.36
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,44,53,43,28,29,26,52]",72.73,43.64,48.57,56.36
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,52,26,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,44,28,53,43,29]",72.73,45.45,49.42,60.00
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,26,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,28,53,43,44,29,52]",72.73,45.45,50.23,60.00
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,26,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,44,28,53,43,29,52]",72.73,43.64,48.57,58.18
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,26,25,24,42,21,22,41,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,44,28,53,43,29,52]",74.55,43.64,48.60,56.36
