Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.00,500,89,247.20,366,0,0.00,0,0.16,1.13,2.39,0.00
1.00,2.00,0.80,0.30,500,27,270.80,458,0,0.00,0,0.00,1.44,3.70,10.00
1.00,2.00,0.80,0.50,500,48,276.00,468,0,0.00,0,0.00,1.48,3.32,10.00
1.00,2.00,0.80,0.90,500,147,210.70,312,0,0.00,0,0.92,1.49,2.83,0.00
1.00,2.00,0.80,0.80,500,28,178.80,426,0,0.00,0,0.00,1.53,6.09,20.00
1.00,2.00,0.80,0.40,500,55,203.40,445,0,0.00,0,0.00,1.83,3.86,10.00
1.00,2.00,0.80,0.20,500,59,214.00,473,0,0.00,0,0.38,1.87,6.31,0.00
1.00,2.00,0.80,1.00,500,82,241.10,445,0,0.00,0,0.82,1.93,6.85,0.00
1.00,2.00,0.80,0.70,500,71,257.10,478,0,0.00,0,0.00,2.01,3.81,10.00
1.00,2.00,0.80,0.10,500,46,289.60,441,0,0.00,0,0.82,2.04,5.00,0.00
1.00,2.00,0.80,0.60,500,40,232.30,463,0,0.00,0,0.92,2.13,5.06,0.00
