Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.30,500,49,205.30,478,0,0.00,0,0.00,1.07,4.13,20.00
1.00,2.00,0.80,0.50,500,69,275.00,463,0,0.00,0,0.00,1.09,2.45,10.00
1.00,2.00,0.80,0.00,500,89,247.20,366,0,0.00,0,0.16,1.13,2.39,0.00
1.00,2.00,0.80,0.60,500,115,224.00,457,0,0.00,0,0.92,1.17,1.79,0.00
1.00,2.00,0.80,1.00,500,37,230.90,440,0,0.00,0,0.82,1.27,1.79,0.00
1.00,2.00,0.80,0.80,500,20,182.10,392,0,0.00,0,0.00,1.40,3.32,10.00
1.00,2.00,0.80,0.20,500,44,129.30,434,0,0.00,0,0.92,1.66,4.40,0.00
1.00,2.00,0.80,0.40,500,39,142.30,351,0,0.00,0,0.92,1.81,3.92,0.00
1.00,2.00,0.80,0.90,500,31,157.50,347,0,0.00,0,0.92,1.98,5.27,0.00
1.00,2.00,0.80,0.70,500,40,263.40,491,0,0.00,0,0.92,2.19,4.95,0.00
1.00,2.00,0.80,0.10,500,36,195.20,418,0,0.00,0,0.49,2.32,6.47,0.00
