Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.80,500,34,187.80,406,0,0.00,0,0.00,1.15,3.81,6.67
1.00,2.00,0.80,0.50,500,39,200.53,474,0,0.00,0,0.00,1.17,6.25,13.33
1.00,2.00,0.80,0.40,500,51,216.30,490,0,0.00,0,0.00,1.39,6.25,10.00
1.00,2.00,0.80,0.00,500,35,219.03,366,0,0.00,0,0.00,1.47,5.49,6.67
1.00,2.00,0.80,1.00,500,37,196.70,432,0,0.00,0,0.00,1.58,5.33,6.67
1.00,2.00,0.80,0.30,500,29,193.80,467,0,0.00,0,0.00,1.76,5.49,6.67
1.00,2.00,0.80,0.60,500,36,213.43,482,0,0.00,0,0.00,1.82,5.11,3.33
1.00,2.00,0.80,0.10,500,55,220.23,492,0,0.00,0,0.49,1.83,8.43,0.00
1.00,2.00,0.80,0.90,500,36,224.40,491,0,0.00,0,0.00,1.83,5.66,6.67
1.00,2.00,0.80,0.20,500,35,214.87,499,0,0.00,0,0.00,2.01,6.47,3.33
1.00,2.00,0.80,0.70,500,26,216.63,470,0,0.00,0,0.65,2.05,5.17,0.00
