Threshold,High CMSA edges,High CMSA precision [%],High CMSA recall [%],High CMSA lift,Cycle-cover high-CMSA edges,Cycle-cover high-CMSA precision [%],Cycle-cover high-CMSA recall [%],Cycle-cover high-CMSA lift,High-CMSA edges removed by cycle cover,High-CMSA found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-CMSA edges [%],Cycle-cover share of high-CMSA found-optimal edges [%]
0.100000,82,56.10,49.46,29.979019,45,73.33,35.48,39.189964,37,13,0.172358,0.139785,54.88,71.74
0.200000,77,55.84,46.24,29.843597,44,75.00,35.48,40.080645,33,10,0.191558,0.107527,57.14,76.74
0.300000,76,55.26,45.16,29.533107,43,74.42,34.41,39.769942,33,10,0.191554,0.107527,56.58,76.19
0.400000,73,56.16,44.09,30.014730,42,76.19,34.41,40.716846,31,9,0.200261,0.096774,57.53,78.05
0.500000,70,57.14,43.01,30.537634,41,75.61,33.33,40.406504,29,9,0.184669,0.096774,58.57,77.50
0.600000,68,58.82,43.01,31.435800,40,77.50,33.33,41.416667,28,9,0.186765,0.096774,58.82,77.50
0.700000,66,57.58,40.86,30.768980,39,76.92,32.26,41.108354,27,8,0.193473,0.086022,59.09,78.95
0.800000,64,59.38,40.86,31.730511,39,76.92,32.26,41.108354,25,8,0.175481,0.086022,60.94,78.95
0.900000,63,60.32,40.86,32.234170,38,78.95,32.26,42.190153,25,8,0.186299,0.086022,60.32,78.95
1.000000,42,71.43,32.26,38.172043,32,78.12,26.88,41.750672,10,5,0.066964,0.053763,76.19,83.33
