Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.25,0.10,8,4437,179,1242.60,3059,0.00,0.04,0.21,80.00,405
1.00,5.00,0.80,0.05,0.25,0.40,29,1224,54,426.00,770,0.00,0.06,0.21,70.00,440
1.00,5.00,0.80,0.05,0.25,0.60,43,825,58,234.10,509,0.00,0.07,0.46,80.00,373
1.00,5.00,0.80,0.05,0.25,0.90,64,554,16,153.90,390,0.00,0.08,0.21,60.00,448
1.00,5.00,0.80,0.05,0.25,0.50,36,986,107,313.60,805,0.00,0.08,0.21,60.00,461
1.00,5.00,0.80,0.05,1.00,0.70,50,710,362,490.20,687,0.00,0.09,0.46,70.00,817
1.00,5.00,0.80,0.05,0.00,0.40,29,1224,57,247.50,765,0.00,0.10,0.21,50.00,423
1.00,5.00,0.80,0.05,0.00,0.10,8,4437,90,1108.70,3640,0.00,0.10,0.21,50.00,442
1.00,5.00,0.80,0.05,0.50,0.90,64,554,30,263.60,456,0.00,0.11,0.46,60.00,676
1.00,5.00,0.80,0.05,0.00,0.90,64,554,12,180.80,488,0.00,0.11,0.46,60.00,398
1.00,5.00,0.80,0.05,0.75,0.40,29,1224,314,693.20,1182,0.00,0.11,0.46,70.00,721
1.00,5.00,0.80,0.05,0.75,0.30,22,1613,369,870.80,1345,0.00,0.11,0.46,70.00,758
1.00,5.00,0.80,0.05,1.00,0.30,22,1613,641,1141.30,1531,0.00,0.11,0.46,70.00,894
1.00,5.00,0.80,0.05,1.00,0.10,8,4437,2395,3359.80,4176,0.00,0.12,0.46,70.00,1037
1.00,5.00,0.80,0.05,0.00,0.20,15,2366,36,706.20,1919,0.00,0.12,0.21,40.00,543
1.00,5.00,0.80,0.05,0.25,0.70,50,710,38,243.90,540,0.00,0.13,0.46,50.00,504
1.00,5.00,0.80,0.05,0.25,1.00,71,500,44,130.10,221,0.00,0.13,0.46,60.00,474
1.00,5.00,0.80,0.05,0.75,0.20,15,2366,532,1545.60,2222,0.00,0.13,0.46,60.00,892
1.00,5.00,0.80,0.05,0.75,0.90,64,554,206,327.40,500,0.00,0.14,0.46,60.00,781
1.00,5.00,0.80,0.05,1.00,0.80,57,622,306,474.80,615,0.00,0.14,0.46,60.00,917
1.00,5.00,0.80,0.05,0.00,0.60,43,825,16,114.70,343,0.00,0.14,0.21,30.00,490
1.00,5.00,0.80,0.05,0.00,0.70,50,710,26,134.90,634,0.00,0.15,0.46,40.00,485
1.00,5.00,0.80,0.05,0.25,0.30,22,1613,164,799.60,1588,0.00,0.15,0.46,40.00,685
1.00,5.00,0.80,0.05,0.75,0.50,36,986,310,652.10,979,0.00,0.15,0.46,40.00,837
1.00,5.00,0.80,0.05,0.50,0.70,50,710,166,338.00,664,0.00,0.15,0.46,50.00,672
1.00,5.00,0.80,0.05,0.50,0.10,8,4437,565,1612.60,3365,0.00,0.16,0.46,60.00,681
1.00,5.00,0.80,0.05,0.50,0.60,43,825,143,434.70,678,0.00,0.17,0.46,30.00,770
1.00,5.00,0.80,0.05,0.50,0.20,15,2366,410,948.60,2237,0.00,0.17,0.46,40.00,743
1.00,5.00,0.80,0.05,0.50,1.00,71,500,58,192.80,314,0.00,0.17,0.46,40.00,746
1.00,5.00,0.80,0.05,0.75,0.80,57,622,99,348.30,566,0.00,0.18,0.46,50.00,755
1.00,5.00,0.80,0.05,0.25,0.20,15,2366,71,513.30,1632,0.00,0.18,0.46,50.00,579
