Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.25,0.40,29,1224,109,638.70,1220,0.00,0.98,4.46,4.00,442
1.00,5.00,0.80,0.05,0.50,0.50,36,986,380,698.64,965,0.00,1.16,5.13,2.00,442
1.00,5.00,0.80,0.05,0.50,0.90,64,554,151,381.72,552,0.00,1.25,5.13,2.00,426
1.00,5.00,0.80,0.05,0.50,0.80,57,622,165,426.66,608,0.21,1.26,6.05,0.00,428
1.00,5.00,0.80,0.05,0.25,0.20,15,2366,209,1332.98,2360,0.00,1.34,6.00,4.00,484
1.00,5.00,0.80,0.05,0.25,0.80,57,622,65,333.32,609,0.21,1.37,6.46,0.00,421
1.00,5.00,0.80,0.05,0.50,0.10,8,4437,1310,3096.00,4359,0.21,1.37,5.28,0.00,574
1.00,5.00,0.80,0.05,0.50,1.00,71,500,165,353.06,499,0.00,1.40,5.69,2.00,422
1.00,5.00,0.80,0.05,0.50,0.40,29,1224,249,853.98,1213,0.00,1.43,5.74,2.00,452
1.00,5.00,0.80,0.05,0.50,0.20,15,2366,582,1659.74,2359,0.21,1.48,5.18,0.00,496
1.00,5.00,0.80,0.05,0.50,0.30,22,1613,305,1065.18,1607,0.21,1.49,5.13,0.00,466
1.00,5.00,0.80,0.05,0.50,0.60,43,825,150,570.24,824,0.21,1.52,5.85,0.00,437
1.00,5.00,0.80,0.05,0.25,1.00,71,500,38,283.78,498,0.00,1.55,7.23,2.00,414
1.00,5.00,0.80,0.05,0.25,0.60,43,825,131,474.10,812,0.00,1.56,6.31,4.00,426
1.00,5.00,0.80,0.05,0.75,0.90,64,554,114,423.52,550,0.21,1.56,6.31,0.00,429
1.00,5.00,0.80,0.05,0.25,0.50,36,986,157,535.88,956,0.21,1.58,5.79,0.00,437
1.00,5.00,0.80,0.05,0.75,0.50,36,986,398,793.60,985,0.00,1.62,5.74,4.00,444
1.00,5.00,0.80,0.05,0.25,0.30,22,1613,116,835.74,1609,0.00,1.70,6.51,2.00,457
1.00,5.00,0.80,0.05,0.50,0.70,50,710,107,503.24,707,0.21,1.74,5.90,0.00,432
1.00,5.00,0.80,0.05,0.25,0.70,50,710,82,374.86,708,0.21,1.76,7.79,0.00,426
1.00,5.00,0.80,0.05,0.75,0.40,29,1224,421,1006.88,1223,0.00,1.77,7.44,6.00,454
1.00,5.00,0.80,0.05,1.00,0.40,29,1224,811,1083.48,1221,0.21,1.78,6.46,0.00,452
1.00,5.00,0.80,0.05,0.75,0.60,43,825,476,690.62,822,0.21,1.79,6.26,0.00,452
