Threshold,High MSA support edges,High MSA support density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-MSA support edges not seen in found-optimal tours
0.100000,82,1.65,56.10,49.46,29.979019,36
0.200000,77,1.55,55.84,46.24,29.843597,34
0.300000,76,1.53,55.26,45.16,29.533107,34
0.400000,73,1.47,56.16,44.09,30.014730,32
0.500000,70,1.41,57.14,43.01,30.537634,30
0.600000,68,1.37,58.82,43.01,31.435800,28
0.700000,66,1.33,57.58,40.86,30.768980,28
0.800000,64,1.29,59.38,40.86,31.730511,26
0.900000,63,1.27,60.32,40.86,32.234170,25
1.000000,42,0.85,71.43,32.26,38.172043,12
