Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.00,500,115,324.53,497,0,0.00,0,0.56,2.76,7.08,0.00
1.00,2.00,0.80,0.30,500,34,269.10,489,0,0.00,0,0.56,3.25,8.82,0.00
1.00,2.00,0.80,0.80,500,63,298.67,471,0,0.00,0,0.36,3.31,7.90,0.00
1.00,2.00,0.80,0.40,500,77,315.50,494,0,0.00,0,0.00,3.37,8.72,6.67
1.00,2.00,0.80,0.60,500,70,282.80,495,0,0.00,0,0.21,3.56,8.05,0.00
1.00,2.00,0.80,0.10,500,22,344.83,498,0,0.00,0,0.00,3.58,7.28,3.33
1.00,2.00,0.80,0.70,500,114,291.17,493,0,0.00,0,0.00,3.79,9.38,3.33
1.00,2.00,0.80,0.90,500,27,313.93,495,0,0.00,0,0.26,3.83,7.59,0.00
1.00,2.00,0.80,0.50,500,41,289.67,494,0,0.00,0,0.21,3.84,8.05,0.00
1.00,2.00,0.80,0.20,500,41,275.97,493,0,0.00,0,0.00,4.16,8.62,3.33
1.00,2.00,0.80,1.00,500,46,247.70,494,0,0.00,0,0.00,4.25,7.79,3.33
