Alpha,Beta,Rho,pBest,CMSA impact on initial pheromones,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
1.00,5.00,0.80,0.05,0.00,0.00,68,5620,0.03,20.00,90.48,199
1.00,5.00,0.80,0.05,0.00,0.25,24,5620,0.01,46.00,88.10,203
1.00,5.00,0.80,0.05,0.00,0.50,35,5620,0.01,56.00,85.71,203
1.00,5.00,0.80,0.05,0.00,0.75,46,5620,0.01,60.00,85.71,203
1.00,5.00,0.80,0.05,0.00,1.00,50,5620,0.01,62.00,90.48,203
1.00,5.00,0.80,0.05,0.25,0.00,38,5620,0.04,14.00,92.86,199
1.00,5.00,0.80,0.05,0.25,0.25,53,5620,0.01,46.00,85.71,202
1.00,5.00,0.80,0.05,0.25,0.50,18,5620,0.01,50.00,88.10,204
1.00,5.00,0.80,0.05,0.25,0.75,35,5620,0.01,64.00,83.33,203
1.00,5.00,0.80,0.05,0.25,1.00,53,5620,0.01,50.00,90.48,203
1.00,5.00,0.80,0.05,0.50,0.00,82,5620,0.04,22.00,92.86,199
1.00,5.00,0.80,0.05,0.50,0.25,59,5620,0.01,40.00,85.71,202
1.00,5.00,0.80,0.05,0.50,0.50,24,5620,0.01,54.00,88.10,202
1.00,5.00,0.80,0.05,0.50,0.75,75,5620,0.01,50.00,83.33,203
1.00,5.00,0.80,0.05,0.50,1.00,94,5620,0.01,48.00,88.10,203
1.00,5.00,0.80,0.05,0.75,0.00,32,5620,0.03,12.00,90.48,198
1.00,5.00,0.80,0.05,0.75,0.25,58,5620,0.01,46.00,88.10,202
1.00,5.00,0.80,0.05,0.75,0.50,20,5620,0.01,56.00,90.48,203
1.00,5.00,0.80,0.05,0.75,0.75,33,5620,0.01,62.00,90.48,203
1.00,5.00,0.80,0.05,0.75,1.00,28,5620,0.01,58.00,88.10,203
1.00,5.00,0.80,0.05,1.00,0.00,63,5620,0.03,16.00,85.71,200
1.00,5.00,0.80,0.05,1.00,0.25,40,5620,0.01,46.00,88.10,202
1.00,5.00,0.80,0.05,1.00,0.50,6,5620,0.01,46.00,85.71,204
1.00,5.00,0.80,0.05,1.00,0.75,46,5620,0.01,50.00,85.71,204
1.00,5.00,0.80,0.05,1.00,1.00,42,5620,0.01,56.00,85.71,203
