Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.75,1.00,43,100,3,9.60,23,0.00,0.00,0.00,100.00,19
1.00,5.00,0.80,0.05,1.00,0.70,31,138,3,13.70,32,0.00,0.00,0.00,100.00,19
1.00,5.00,0.80,0.05,1.00,0.80,35,122,6,13.90,36,0.00,0.00,0.00,100.00,21
1.00,5.00,0.80,0.05,0.75,0.80,35,122,11,16.50,24,0.00,0.00,0.00,100.00,27
1.00,5.00,0.80,0.05,0.75,0.90,39,110,3,17.70,32,0.00,0.00,0.00,100.00,32
1.00,5.00,0.80,0.05,1.00,1.00,43,100,5,21.10,39,0.00,0.00,0.00,100.00,41
1.00,5.00,0.80,0.05,0.75,0.60,26,165,4,21.70,75,0.00,0.00,0.00,100.00,26
1.00,5.00,0.80,0.05,0.75,0.50,22,195,6,32.40,163,0.00,0.00,0.00,100.00,34
1.00,5.00,0.80,0.05,1.00,0.50,22,195,13,34.30,69,0.00,0.00,0.00,100.00,33
1.00,5.00,0.80,0.05,1.00,0.40,18,238,5,34.60,95,0.00,0.00,0.00,100.00,28
1.00,5.00,0.80,0.05,1.00,0.30,13,330,3,42.70,89,0.00,0.00,0.00,100.00,25
1.00,5.00,0.80,0.05,0.00,0.80,35,122,22,49.90,112,0.00,0.00,0.00,100.00,92
1.00,5.00,0.80,0.05,0.75,0.30,13,330,5,70.60,273,0.00,0.00,0.00,100.00,43
1.00,5.00,0.80,0.05,1.00,0.20,9,477,6,98.40,301,0.00,0.00,0.00,100.00,40
1.00,5.00,0.80,0.05,0.75,0.10,5,860,10,108.40,297,0.00,0.00,0.00,100.00,26
1.00,5.00,0.80,0.05,1.00,0.10,5,860,27,199.20,373,0.00,0.00,0.00,100.00,47
1.00,5.00,0.80,0.05,0.75,0.70,31,138,3,14.60,29,0.00,0.00,0.02,90.00,38
1.00,5.00,0.80,0.05,0.50,1.00,43,100,0,17.80,58,0.00,0.00,0.02,90.00,59
1.00,5.00,0.80,0.05,0.50,0.70,31,138,2,20.90,88,0.00,0.00,0.02,90.00,48
1.00,5.00,0.80,0.05,1.00,0.90,39,110,5,20.90,68,0.00,0.00,0.02,90.00,45
1.00,5.00,0.80,0.05,0.75,0.40,18,238,2,22.70,78,0.00,0.00,0.02,90.00,38
1.00,5.00,0.80,0.05,0.00,1.00,43,100,3,24.80,61,0.00,0.00,0.02,90.00,70
1.00,5.00,0.80,0.05,1.00,0.60,26,165,8,30.10,50,0.00,0.00,0.02,90.00,49
1.00,5.00,0.80,0.05,0.00,0.90,39,110,11,31.10,66,0.00,0.00,0.02,90.00,80
1.00,5.00,0.80,0.05,0.75,0.20,9,477,13,60.50,247,0.00,0.00,0.02,90.00,36
1.00,5.00,0.80,0.05,0.50,0.30,13,330,0,73.40,282,0.00,0.00,0.02,90.00,69
1.00,5.00,0.80,0.05,0.00,0.30,13,330,17,129.60,265,0.00,0.00,0.02,90.00,96
1.00,5.00,0.80,0.05,0.00,0.20,9,477,12,81.30,174,0.00,0.00,0.04,90.00,62
1.00,5.00,0.80,0.05,0.50,0.90,39,110,10,30.60,59,0.00,0.00,0.02,80.00,96
