Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.10,100,15,45.50,80,0,0.00,0,0.37,0.45,0.55,0.00
1.00,2.00,0.80,0.70,100,8,46.70,98,0,0.00,0,0.37,0.46,0.52,0.00
1.00,2.00,0.80,0.90,100,0,41.90,89,0,0.00,0,0.37,0.46,0.52,0.00
1.00,2.00,0.80,0.30,100,1,51.90,95,0,0.00,0,0.34,0.46,0.52,0.00
1.00,2.00,0.80,0.60,100,7,54.60,95,0,0.00,0,0.39,0.48,0.59,0.00
1.00,2.00,0.80,0.50,100,12,30.90,81,0,0.00,0,0.37,0.48,0.57,0.00
1.00,2.00,0.80,1.00,100,10,50.70,88,0,0.00,0,0.37,0.49,0.55,0.00
1.00,2.00,0.80,0.40,100,7,34.10,93,0,0.00,0,0.32,0.49,0.59,0.00
1.00,2.00,0.80,0.80,100,5,38.40,97,0,0.00,0,0.37,0.49,0.59,0.00
1.00,2.00,0.80,0.20,100,7,23.80,87,0,0.00,0,0.48,0.51,0.59,0.00
1.00,2.00,0.80,0.00,100,11,46.70,90,0,0.00,0,0.43,0.51,0.59,0.00
