Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.90,100,2,38.63,80,0,0.00,0,0.32,0.40,0.55,0.00
1.00,2.00,0.80,1.00,100,4,34.27,98,0,0.00,0,0.37,0.41,0.48,0.00
1.00,2.00,0.80,0.80,100,7,33.23,98,0,0.00,0,0.37,0.42,0.52,0.00
1.00,2.00,0.80,0.60,100,9,41.07,86,0,0.00,0,0.32,0.42,0.52,0.00
1.00,2.00,0.80,0.70,100,1,34.40,98,0,0.00,0,0.37,0.43,0.59,0.00
1.00,2.00,0.80,0.50,100,1,40.10,95,0,0.00,0,0.37,0.45,0.59,0.00
1.00,2.00,0.80,0.40,100,5,34.67,95,0,0.00,0,0.34,0.46,0.59,0.00
1.00,2.00,0.80,0.30,100,7,37.13,98,0,0.00,0,0.37,0.47,0.59,0.00
1.00,2.00,0.80,0.00,100,11,50.10,96,0,0.00,0,0.36,0.48,0.59,0.00
1.00,2.00,0.80,0.20,100,0,28.90,95,0,0.00,0,0.39,0.49,0.52,0.00
1.00,2.00,0.80,0.10,100,0,22.63,84,0,0.00,0,0.37,0.50,0.52,0.00
