Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.40,100,11,54.83,98,0,0.00,0,0.36,0.46,0.59,0.00
1.00,2.00,0.80,0.20,100,2,37.20,92,0,0.00,0,0.36,0.46,0.59,0.00
1.00,2.00,0.80,0.90,100,8,47.80,99,0,0.00,0,0.32,0.46,0.59,0.00
1.00,2.00,0.80,0.50,100,1,41.93,95,0,0.00,0,0.36,0.46,0.60,0.00
1.00,2.00,0.80,1.00,100,4,42.73,98,0,0.00,0,0.36,0.47,0.59,0.00
1.00,2.00,0.80,0.30,100,3,51.13,98,0,0.00,0,0.36,0.47,0.60,0.00
1.00,2.00,0.80,0.10,100,6,49.53,99,0,0.00,0,0.32,0.48,0.59,0.00
1.00,2.00,0.80,0.80,100,3,40.40,94,0,0.00,0,0.36,0.48,0.60,0.00
1.00,2.00,0.80,0.00,100,11,50.10,96,0,0.00,0,0.36,0.48,0.59,0.00
1.00,2.00,0.80,0.60,100,9,44.63,99,0,0.00,0,0.34,0.49,0.59,0.00
1.00,2.00,0.80,0.70,100,4,42.70,98,0,0.00,0,0.32,0.50,0.59,0.00
