Tour,Commonality with CMSA,Min commonality with MSA,Avg commonality with MSA,Max commonality with MSA
"[0,4,15,16,17,18,19,20,12,14,13,34,33,31,32,8,9,11,10,7,6,5,29,30,28,27,1,2,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",52.38,26.19,32.45,38.10
"[0,4,15,16,17,18,19,20,12,13,14,34,33,32,31,8,10,9,11,5,7,6,30,29,27,28,2,3,1,36,37,38,39,40,41,42,26,24,25,21,23,22,35]",52.38,23.81,30.45,35.71
"[0,4,15,17,16,19,18,20,12,14,13,33,34,32,31,8,9,10,11,5,7,6,29,30,27,28,1,3,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",52.38,30.95,36.93,42.86
"[0,4,17,16,15,19,20,18,14,12,13,33,34,32,31,8,9,11,10,7,6,5,30,29,27,28,1,3,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",52.38,23.81,30.12,35.71
"[0,4,15,16,17,18,20,19,12,14,13,33,34,31,32,8,10,9,11,7,6,5,30,29,27,28,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",52.38,28.57,34.88,38.10
"[0,4,17,16,15,18,19,20,12,14,13,33,34,32,31,8,10,9,11,6,7,5,30,29,27,28,3,1,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",52.38,28.57,34.50,38.10
"[0,4,17,15,16,18,19,20,12,14,13,33,34,32,31,8,9,11,10,5,6,7,29,30,27,28,1,2,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",54.76,33.33,37.32,42.86
"[0,4,17,15,16,19,20,18,12,13,14,34,33,31,32,8,10,11,9,7,5,6,29,30,27,28,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",54.76,30.95,36.93,40.48
"[0,4,15,16,17,19,20,18,12,13,14,33,34,31,32,11,10,9,8,5,7,6,29,30,28,27,1,3,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",54.76,28.57,34.99,40.48
"[0,4,15,18,19,20,17,16,14,12,13,33,34,31,32,8,10,9,11,5,7,6,30,29,28,27,1,2,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",54.76,30.95,36.82,40.48
"[0,4,15,17,16,20,19,18,14,13,12,34,33,32,31,8,10,11,9,5,6,7,30,29,28,27,1,2,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",54.76,21.43,26.02,30.95
"[0,4,15,16,17,20,18,19,12,14,13,33,34,31,32,8,11,9,10,6,7,5,29,30,28,27,3,1,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",54.76,30.95,36.88,40.48
