Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,2.00,0.80,0.30,5000,461,2495.40,4798,9230090,493675325.00,89213559,2.75,3.28,3.70,0.00,0
1.00,2.00,0.80,1.00,5000,1212,3293.60,4839,9196012,479716121.00,87511622,2.84,3.29,3.53,0.00,0
1.00,2.00,0.80,0.40,5000,200,2034.00,3838,8800714,488259657.00,88838143,3.01,3.32,3.70,0.00,0
1.00,2.00,0.80,0.90,5000,421,2194.50,4334,8620706,485522729.00,89001772,3.10,3.36,3.61,0.00,0
1.00,2.00,0.80,0.50,5000,376,1890.60,4884,9262259,495599521.00,89620142,2.84,3.37,3.61,0.00,0
1.00,2.00,0.80,0.70,5000,279,1865.00,4342,8704779,486815724.00,87552010,3.10,3.38,3.70,0.00,0
1.00,2.00,0.80,0.10,5000,655,2500.30,4513,9219901,489712645.00,87976818,3.18,3.38,3.44,0.00,0
1.00,2.00,0.80,0.00,5000,134,1508.30,3380,8741589,489859474.00,89752830,3.18,3.40,3.61,0.00,0
1.00,2.00,0.80,0.60,5000,188,2187.80,4483,8841298,486364097.00,87814636,3.18,3.40,3.70,0.00,0
1.00,2.00,0.80,0.20,5000,120,2095.00,4278,9255036,491209999.00,89257329,3.18,3.40,3.61,0.00,0
1.00,2.00,0.80,0.80,5000,161,1894.60,4632,8487618,484707429.00,87696697,3.10,3.41,3.70,0.00,0
