Used local search,Alpha,Beta,Rho,pBest,CMSA impact on initial pheromones,CMSA edge selection probability,Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
true,1.00,5.00,0.80,0.05,0.00,0.00,14,14422.00,0.753432,6.00,74.468085,58
true,1.00,5.00,0.80,0.05,0.00,0.25,38,14422.00,0.469283,18.00,76.595745,80
true,1.00,5.00,0.80,0.05,0.00,0.50,24,14422.00,0.489253,22.00,74.468085,95
true,1.00,5.00,0.80,0.05,0.00,0.75,70,14422.00,0.619193,12.00,74.468085,107
true,1.00,5.00,0.80,0.05,0.00,1.00,65,14422.00,0.557620,28.00,74.468085,119
true,1.00,5.00,0.80,0.05,0.25,0.00,41,14422.00,0.656774,8.00,74.468085,58
true,1.00,5.00,0.80,0.05,0.25,0.25,26,14422.00,0.600055,16.00,76.595745,86
true,1.00,5.00,0.80,0.05,0.25,0.50,19,14422.00,0.426293,36.00,76.595745,97
true,1.00,5.00,0.80,0.05,0.25,0.75,79,14422.00,0.610456,12.00,76.595745,109
true,1.00,5.00,0.80,0.05,0.25,1.00,75,14422.00,0.496048,26.00,76.595745,118
true,1.00,5.00,0.80,0.05,0.50,0.00,16,14422.00,0.722646,8.00,74.468085,57
true,1.00,5.00,0.80,0.05,0.50,0.25,19,14422.00,0.546665,24.00,74.468085,79
true,1.00,5.00,0.80,0.05,0.50,0.50,36,14422.00,0.594647,14.00,74.468085,96
true,1.00,5.00,0.80,0.05,0.50,0.75,82,14422.00,0.629871,8.00,76.595745,107
true,1.00,5.00,0.80,0.05,0.50,1.00,55,14422.00,0.623492,14.00,76.595745,117
true,1.00,5.00,0.80,0.05,0.75,0.00,21,14422.00,0.630010,16.00,74.468085,57
true,1.00,5.00,0.80,0.05,0.75,0.25,38,14422.00,0.531549,14.00,76.595745,79
true,1.00,5.00,0.80,0.05,0.75,0.50,42,14422.00,0.526141,16.00,76.595745,95
true,1.00,5.00,0.80,0.05,0.75,0.75,87,14422.00,0.627791,12.00,76.595745,109
true,1.00,5.00,0.80,0.05,0.75,1.00,91,14422.00,0.391208,30.00,76.595745,118
true,1.00,5.00,0.80,0.05,1.00,0.00,14,14422.00,0.831646,10.00,76.595745,59
true,1.00,5.00,0.80,0.05,1.00,0.25,24,14422.00,0.559839,14.00,76.595745,80
true,1.00,5.00,0.80,0.05,1.00,0.50,49,14422.00,0.514492,16.00,74.468085,96
true,1.00,5.00,0.80,0.05,1.00,0.75,55,14422.00,0.519900,16.00,76.595745,107
true,1.00,5.00,0.80,0.05,1.00,1.00,72,14422.00,0.540008,22.00,74.468085,117
