Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.75,0.60,29,165,114,136.50,157,0.17,0.91,2.55,0.00,32
1.00,5.00,0.80,0.05,0.25,0.80,39,123,37,77.90,105,0.17,1.36,4.15,0.00,31
1.00,5.00,0.80,0.05,0.25,0.30,15,320,163,239.40,319,0.00,1.49,3.57,10.00,33
1.00,5.00,0.80,0.05,0.50,0.10,5,960,478,707.90,886,0.17,1.51,4.19,0.00,46
1.00,5.00,0.80,0.05,0.25,1.00,48,100,50,81.30,99,0.17,1.56,2.83,0.00,31
1.00,5.00,0.80,0.05,0.50,1.00,48,100,50,82.10,99,0.26,1.61,3.90,0.00,31
1.00,5.00,0.80,0.05,0.50,0.80,39,123,45,87.70,117,0.00,1.62,3.22,10.00,30
1.00,5.00,0.80,0.05,0.50,0.90,44,109,71,84.50,103,0.26,1.66,3.33,0.00,31
1.00,5.00,0.80,0.05,1.00,0.20,10,480,306,437.70,479,0.26,1.68,4.33,0.00,38
1.00,5.00,0.80,0.05,0.75,0.40,20,240,167,204.10,237,0.26,1.75,3.44,0.00,34
1.00,5.00,0.80,0.05,0.25,0.60,29,165,22,92.10,162,0.26,1.76,3.58,0.00,31
1.00,5.00,0.80,0.05,1.00,0.80,39,123,88,105.80,116,0.74,1.78,3.61,0.00,32
1.00,5.00,0.80,0.05,0.50,0.60,29,165,98,139.60,162,0.17,1.81,4.36,0.00,32
1.00,5.00,0.80,0.05,0.50,0.40,20,240,98,187.70,237,0.26,1.82,3.22,0.00,34
1.00,5.00,0.80,0.05,0.25,0.50,24,200,41,137.80,197,0.26,1.87,3.47,0.00,32
1.00,5.00,0.80,0.05,0.50,0.70,34,141,57,101.80,127,0.17,1.95,2.91,0.00,32
1.00,5.00,0.80,0.05,0.50,0.50,24,200,125,159.90,192,0.17,1.97,5.61,0.00,33
1.00,5.00,0.80,0.05,0.75,0.70,34,141,83,118.20,139,0.26,1.99,3.95,0.00,32
1.00,5.00,0.80,0.05,0.50,0.20,10,480,258,385.80,475,0.60,2.00,3.13,0.00,38
1.00,5.00,0.80,0.05,1.00,0.60,29,165,130,150.00,164,0.26,2.00,4.33,0.00,32
1.00,5.00,0.80,0.05,0.25,0.70,34,141,38,96.50,138,0.26,2.01,5.33,0.00,31
1.00,5.00,0.80,0.05,0.50,0.30,15,320,128,228.80,301,0.73,2.02,4.36,0.00,35
1.00,5.00,0.80,0.05,0.75,0.10,5,960,629,843.60,954,0.00,2.09,4.00,10.00,46
1.00,5.00,0.80,0.05,0.75,0.50,24,200,137,172.90,198,0.26,2.13,3.84,0.00,33
1.00,5.00,0.80,0.05,1.00,1.00,48,100,87,93.40,98,0.00,2.17,4.33,10.00,31
1.00,5.00,0.80,0.05,1.00,0.30,15,320,243,284.00,318,1.25,2.19,3.85,0.00,35
1.00,5.00,0.80,0.05,0.25,0.40,20,240,93,159.50,226,0.26,2.21,6.16,0.00,33
1.00,5.00,0.80,0.05,0.25,0.20,10,480,263,358.40,449,0.26,2.27,5.74,0.00,37
1.00,5.00,0.80,0.05,0.75,1.00,48,100,58,88.50,98,0.17,2.30,3.85,0.00,31
1.00,5.00,0.80,0.05,0.75,0.90,44,109,63,91.30,106,0.74,2.32,4.21,0.00,31
1.00,5.00,0.80,0.05,0.75,0.80,39,123,56,96.90,118,0.26,2.41,4.33,0.00,32
1.00,5.00,0.80,0.05,1.00,0.10,5,960,505,798.90,938,0.26,2.44,4.55,0.00,46
1.00,5.00,0.80,0.05,1.00,0.50,24,200,138,167.30,192,0.87,2.45,4.33,0.00,33
1.00,5.00,0.80,0.05,0.75,0.20,10,480,175,382.60,474,0.00,2.51,5.21,20.00,35
1.00,5.00,0.80,0.05,1.00,0.90,44,109,86,100.50,107,0.26,2.51,4.21,0.00,31
1.00,5.00,0.80,0.05,0.00,0.20,10,480,150,334.70,478,0.92,2.54,5.42,0.00,36
1.00,5.00,0.80,0.05,0.00,0.50,24,200,69,140.10,189,0.89,2.58,4.74,0.00,31
1.00,5.00,0.80,0.05,0.25,0.10,5,960,220,593.40,917,0.26,2.68,6.46,0.00,45
1.00,5.00,0.80,0.05,1.00,0.70,34,141,96,122.50,140,0.92,2.74,5.01,0.00,32
1.00,5.00,0.80,0.05,0.75,0.30,15,320,157,267.90,307,0.74,2.80,4.19,0.00,35
1.00,5.00,0.80,0.05,1.00,0.40,20,240,182,210.30,232,0.26,2.80,4.84,0.00,34
1.00,5.00,0.80,0.05,0.00,0.10,5,960,455,687.30,932,1.01,2.81,6.42,0.00,44
1.00,5.00,0.80,0.05,0.00,0.70,34,141,48,99.80,139,1.17,2.93,4.66,0.00,30
1.00,5.00,0.80,0.05,0.25,0.90,44,109,37,69.90,102,0.26,3.02,5.24,0.00,31
1.00,5.00,0.80,0.05,0.00,0.80,39,123,32,80.60,114,1.68,3.22,4.54,0.00,30
1.00,5.00,0.80,0.05,0.00,0.60,29,165,53,123.60,164,0.96,3.36,5.82,0.00,31
1.00,5.00,0.80,0.05,0.00,0.30,15,320,136,217.20,316,0.17,3.52,4.99,0.00,34
1.00,5.00,0.80,0.05,0.00,0.40,20,240,70,155.90,237,0.98,3.85,5.59,0.00,32
1.00,5.00,0.80,0.05,0.00,0.90,44,109,56,78.60,101,1.77,3.87,6.47,0.00,30
1.00,5.00,0.80,0.05,0.00,1.00,48,100,45,77.90,98,1.35,4.17,6.19,0.00,30
