Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.30,100,41,73.50,99,0,0.00,0,1.51,2.70,4.66,0.00
1.00,2.00,0.80,0.20,100,48,82.40,97,0,0.00,0,0.97,3.15,4.90,0.00
1.00,2.00,0.80,0.60,100,41,78.40,99,0,0.00,0,0.97,3.17,8.12,0.00
1.00,2.00,0.80,1.00,100,45,76.60,98,0,0.00,0,2.05,3.34,5.76,0.00
1.00,2.00,0.80,0.10,100,29,67.00,96,0,0.00,0,1.80,3.44,6.50,0.00
1.00,2.00,0.80,0.50,100,38,81.90,97,0,0.00,0,1.49,3.52,6.89,0.00
1.00,2.00,0.80,0.90,100,29,63.60,98,0,0.00,0,2.03,3.57,5.19,0.00
1.00,2.00,0.80,0.70,100,48,78.20,97,0,0.00,0,2.18,3.69,5.46,0.00
1.00,2.00,0.80,0.00,100,68,84.20,99,0,0.00,0,0.96,3.79,5.68,0.00
1.00,2.00,0.80,0.40,100,19,68.80,99,0,0.00,0,1.75,3.86,6.36,0.00
1.00,2.00,0.80,0.80,100,42,72.70,96,0,0.00,0,2.75,4.06,6.12,0.00
