Threshold,High CMSA edges,High CMSA density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-CMSA edges not seen in found-optimal tours
0.100000,106,1.05,52.83,20.00,19.056604,50
0.200000,104,1.03,53.85,20.00,19.423077,48
0.300000,102,1.01,53.92,19.64,19.450280,47
0.400000,101,1.00,54.46,19.64,19.642857,46
0.500000,101,1.00,54.46,19.64,19.642857,46
0.600000,99,0.98,55.56,19.64,20.039683,44
0.700000,99,0.98,55.56,19.64,20.039683,44
0.800000,96,0.95,56.25,19.29,20.290179,42
0.900000,94,0.93,55.32,18.57,19.954407,42
1.000000,82,0.81,57.32,16.79,20.675087,35
