Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,1.00,5000,2230,4323.90,4993,0,0.00,0,0.27,0.47,0.71,0.00
1.00,2.00,0.80,0.80,5000,3368,4338.90,4982,0,0.00,0,0.24,0.47,0.90,0.00
1.00,2.00,0.80,0.60,5000,3375,4327.50,4913,0,0.00,0,0.27,0.47,0.81,0.00
1.00,2.00,0.80,0.50,5000,2946,4137.10,4991,0,0.00,0,0.18,0.49,0.91,0.00
1.00,2.00,0.80,0.70,5000,2957,4102.60,4872,0,0.00,0,0.22,0.49,0.99,0.00
1.00,2.00,0.80,0.90,5000,3353,4524.20,4995,0,0.00,0,0.28,0.51,0.92,0.00
1.00,2.00,0.80,0.40,5000,3976,4595.90,4941,0,0.00,0,0.34,0.56,0.79,0.00
1.00,2.00,0.80,0.30,5000,2919,4508.50,4977,0,0.00,0,0.37,0.59,1.18,0.00
1.00,2.00,0.80,0.20,5000,3053,4178.60,4984,0,0.00,0,0.36,0.68,1.03,0.00
1.00,2.00,0.80,0.10,5000,2381,4306.30,4953,0,0.00,0,0.39,0.73,1.15,0.00
1.00,2.00,0.80,0.00,5000,3705,4381.40,4939,0,0.00,0,0.57,0.82,1.16,0.00
