Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,1.00,5000,2325,4064.70,4965,0,0.00,0,0.40,0.64,0.98,0.00
1.00,2.00,0.80,0.80,5000,4015,4616.80,4995,0,0.00,0,0.38,0.65,1.02,0.00
1.00,2.00,0.80,0.90,5000,2531,3976.20,4855,0,0.00,0,0.34,0.65,1.18,0.00
1.00,2.00,0.80,0.40,5000,2276,3848.80,4870,0,0.00,0,0.49,0.70,0.95,0.00
1.00,2.00,0.80,0.50,5000,3103,4191.20,4998,0,0.00,0,0.46,0.71,1.01,0.00
1.00,2.00,0.80,0.70,5000,2333,3845.20,4931,0,0.00,0,0.43,0.72,1.18,0.00
1.00,2.00,0.80,0.20,5000,570,3882.30,4954,0,0.00,0,0.41,0.80,1.38,0.00
1.00,2.00,0.80,0.30,5000,2598,3885.20,4647,0,0.00,0,0.41,0.80,1.19,0.00
1.00,2.00,0.80,0.00,5000,3705,4381.40,4939,0,0.00,0,0.57,0.82,1.16,0.00
1.00,2.00,0.80,0.60,5000,1407,3868.80,4990,0,0.00,0,0.45,0.86,1.72,0.00
1.00,2.00,0.80,0.10,5000,3036,4274.60,4926,0,0.00,0,0.54,0.88,1.20,0.00
