Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.70,5000,2511,4184.03,4943,0,0.00,0,0.42,0.82,1.95,0.00
1.00,2.00,0.80,0.80,5000,2226,4250.23,4988,0,0.00,0,0.42,0.84,1.62,0.00
1.00,2.00,0.80,0.00,5000,3692,4512.20,4986,0,0.00,0,0.47,0.86,1.90,0.00
1.00,2.00,0.80,0.20,5000,1990,4265.87,4984,0,0.00,0,0.45,0.88,2.06,0.00
1.00,2.00,0.80,1.00,5000,2057,4068.67,4915,0,0.00,0,0.41,0.89,2.66,0.00
1.00,2.00,0.80,0.50,5000,2981,4459.57,4993,0,0.00,0,0.41,0.90,2.08,0.00
1.00,2.00,0.80,0.40,5000,2368,4281.37,4994,0,0.00,0,0.50,0.91,2.61,0.00
1.00,2.00,0.80,0.60,5000,2297,4356.00,4996,0,0.00,0,0.46,0.91,1.99,0.00
1.00,2.00,0.80,0.10,5000,2258,4282.37,4990,0,0.00,0,0.47,0.93,1.68,0.00
1.00,2.00,0.80,0.90,5000,1233,4083.20,4993,0,0.00,0,0.52,0.93,1.77,0.00
1.00,2.00,0.80,0.30,5000,2768,4381.53,4985,0,0.00,0,0.42,0.93,3.05,0.00
